NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
          Medicare,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,"1,255","3,225","4,108","4,811","5,359","5,920","6,537","7,537","9,388","11,502","13,902","16,187","18,639","21,647","26,278","31,521","36,662","40,989","45,415","48,626","50,793","53,455","56,290","62,105","67,336","73,244","82,976","91,397","99,730","108,127","114,361","119,102","117,825","121,238","123,510","135,204","143,680","151,034","162,883","176,584","184,931","193,394","205,900","214,787","220,763","227,736","237,965","246,272","253,530","261,800","273,929","286,479","300,483","318,046","319,278"
          Medicaid (Title XIX),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,726,"1,624","1,703","2,031","2,647","3,316","3,738","3,990","4,226","5,014","5,766","6,602","7,008","7,774","9,214","11,062","11,782","12,947","13,961","14,624","15,963","17,773","19,712","22,269","26,663","36,545","43,940","49,458","53,671","56,800","58,871","59,621","61,705","66,810","70,941","77,380","84,466","90,325","96,807","103,825","108,904","117,295","122,938","133,998","142,170","144,346","150,635","157,074","171,744","186,097","190,070","192,232","197,942","207,050","220,838"
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,351,786,882,"1,120","1,423","1,882","2,063","2,065","2,404","2,747","3,568","3,708","3,875","4,347","5,018","6,028","6,423","7,075","7,578","7,931","8,723","9,707","10,975","12,505","15,861","24,955","31,651","34,615","35,592","36,732","37,868","37,757","38,031","40,907","42,668","46,982","50,750","55,298","59,110","60,432","62,213","67,275","72,748","88,414","95,493","88,547","87,392","90,465","106,507","120,224","123,435","123,564","127,110","134,194","154,826"
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,375,838,821,912,"1,224","1,434","1,675","1,926","1,822","2,267","2,198","2,893","3,133","3,427","4,196","5,034","5,360","5,872","6,383","6,693","7,240","8,066","8,737","9,764","10,801","11,590","12,290","14,843","18,079","20,068","21,003","21,864","23,673","25,903","28,273","30,398","33,716","35,027","37,697","43,393","46,691","50,020","50,189","45,583","46,677","55,799","63,243","66,608","65,237","65,873","66,635","68,668","70,832","72,856","66,011"
          CHIP (Title XIX and Title XXI),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,149,465,933,"1,389","1,813","2,053","2,606","2,657","2,350","2,636","3,136","3,214","3,169","3,318","3,414","3,478","3,384","3,685","4,367","4,645","4,641","5,120","5,230"
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,103,324,646,958,"1,246","1,411","1,779","1,809","1,600","1,801","2,152","2,223","2,182","2,289","2,351","2,399","2,349","2,750","3,934","4,177","4,246","4,556","4,306"
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,47,141,287,432,568,641,827,848,750,835,984,991,986,"1,029","1,063","1,079","1,035",935,433,468,394,564,923
         Department of Defense,543,559,533,542,508,519,684,869,988,"1,020","1,067","1,182","1,325","1,519","1,708","1,797","1,852","2,000","2,220","2,517","2,819","3,275","3,694","3,887","4,200","4,917","5,441","5,828","6,034","6,310","7,053","7,815","7,847","8,173","7,855","7,963","7,629","7,616","7,578","7,434","7,640","8,045","8,990","10,408","11,424","12,032","12,884","13,716","14,222","15,633","16,537","16,995","16,663","16,484","16,608","15,777","16,225","16,747","16,328","16,761","16,972"
         Department of Veterans Affairs,821,853,879,930,969,"1,018","1,035","1,125","1,181","1,304","1,532","1,752","2,015","2,328","2,544","2,947","3,528","3,643","4,243","4,431","4,997","5,436","5,951","6,290","6,886","7,100","7,414","7,780","8,109","8,595","9,274","9,983","10,586","11,361","12,129","12,181","12,528","12,194","12,608","13,361","14,289","15,507","16,462","18,829","19,563","20,828","22,571","22,707","25,947","29,291","31,661","33,032","34,279","36,869","40,717","44,476","45,752","48,408","49,779","52,488","58,163"
     Other Third Party Payers and Programs,"2,643","2,885","3,054","3,386","3,553","3,844","3,828","3,656","4,183","4,732","5,482","5,947","6,601","7,184","8,203","9,007","10,090","10,850","12,155","13,624","15,791","18,169","20,056","20,813","21,176","23,049","26,451","28,874","31,934","32,399","34,371","36,244","37,269","38,323","39,450","38,998","39,831","42,134","44,860","45,819","46,710","47,937","50,125","55,682","57,913","61,003","67,019","73,141","68,940","75,216","83,173","84,060","91,601","98,005","97,822","96,374","100,613","106,515","111,254","122,445","208,240"
         Worksite Health Care,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Other Private Revenues,178,212,244,286,332,380,432,510,642,796,"1,063","1,217","1,401","1,400","1,599","1,776","2,723","2,927","3,498","4,023","5,805","6,920","7,933","8,342","8,439","9,429","10,276","11,002","12,760","12,313","12,278","13,135","13,668","14,244","14,966","16,306","17,727","20,189","22,271","23,522","24,402","23,313","24,356","27,865","28,620","30,576","35,405","39,901","34,234","40,155","46,424","47,399","54,814","60,138","61,240","59,458","63,480","69,637","73,154","82,773","83,966"
         Indian Health Services ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,125,162,193,229,241,237,273,273,318,364,404,401,420,445,434,527,631,747,766,765,841,830,877,857,882,947,"1,039","1,052","1,140","1,208","1,225","1,275","1,293","1,366","1,564","1,761","1,786","1,860","1,825","1,878","1,874","1,926","1,950","2,074","2,112","2,309"
         Workers' Compensation,152,161,173,184,198,210,240,255,348,486,525,565,634,743,897,"1,048","1,238","1,386","1,566","1,842","2,068","2,325","2,692","2,945","3,241","3,637","4,092","4,605","5,225","6,096","6,870","7,608","8,244","8,340","7,717","7,431","7,368","7,547","7,897","8,488","8,805","9,686","10,147","10,823","11,089","11,340","11,555","11,992","13,088","13,109","13,681","14,390","14,802","15,442","15,445","15,274","15,200","14,993","15,535","15,838","14,878"
         General Assistance,81,88,82,83,91,100,142,180,211,254,296,339,414,491,589,727,817,926,974,"1,093","1,301","1,536","1,704","1,833","1,945","2,104","2,140","2,141","2,171","2,487","3,171","3,367","3,596","3,100","3,308","3,091","3,061","2,836","2,616","1,641","1,481","1,929","1,875","1,730","1,819","1,730","1,936","2,160","2,371","2,162","2,276","2,304","2,605","3,017","3,191","3,200","2,789","2,627","2,769","2,934","2,999"
         Maternal/Child Health,19,29,29,30,30,34,42,45,53,63,59,65,69,67,76,82,89,94,100,111,124,127,135,138,135,152,161,171,170,174,177,201,223,229,235,232,234,243,238,247,256,265,274,282,283,284,280,314,348,336,333,313,296,308,323,316,306,312,324,327,334
                          Federal  ,5,9,9,9,10,14,19,23,26,30,23,29,36,31,38,43,46,48,51,52,53,53,54,57,47,53,50,52,53,55,53,58,63,62,62,59,56,55,53,54,54,54,56,56,56,56,54,54,54,54,55,54,52,51,52,52,51,51,52,53,55
                          State and Local,14,20,20,21,20,20,23,22,27,33,36,36,33,35,38,40,43,46,49,58,71,74,81,82,88,99,111,118,118,120,124,143,160,167,173,173,178,188,186,193,203,211,218,226,227,229,225,260,295,282,279,259,243,257,271,265,254,262,272,274,280
         Vocational Rehabilitation,7,8,10,13,15,19,26,46,64,72,82,94,97,103,100,99,92,96,92,91,89,96,96,93,90,86,84,83,82,83,90,90,83,74,86,82,73,70,72,82,107,120,122,124,120,116,131,118,108,118,133,131,115,126,149,146,146,156,168,181,189
                          Federal  ,4,5,6,8,9,13,19,34,48,55,64,73,76,80,78,77,71,75,71,70,68,73,72,70,69,66,65,65,64,64,70,70,66,56,65,63,55,52,55,61,80,92,94,95,93,89,99,89,82,90,104,103,90,96,115,113,112,119,129,139,146
                          State and Local,3,3,4,5,6,7,7,12,16,17,18,21,21,22,22,22,22,21,21,21,21,24,24,23,21,20,19,18,18,19,20,20,17,18,20,19,18,17,17,21,27,29,28,29,27,27,31,29,25,28,29,28,26,30,34,33,34,36,39,42,43
         Other Federal Programs*,178,225,295,342,351,370,263,192,199,221,322,426,430,428,439,283,341,359,389,418,412,398,348,146,172,177,182,195,203,221,244,276,299,315,303,303,337,337,377,451,637,"1,012","1,117","1,156","1,209","1,220","1,281","1,282","1,277","1,342","1,331","1,719","2,385","2,311","1,516","1,453","1,546","1,634","1,705","1,900","86,692"
         SAMHSA,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,82,74,76,85,78,91,83,62,54,51,40,38,43,56,43,81,165,126,86,86,86,121,129,163,186,174,182,185,178,172,164,162,162,162,166,158,146,174,166,176,176,182,179,179,179,176
         Other State and Local Programs**,"2,027","2,162","2,220","2,448","2,537","2,731","2,683","2,429","2,665","2,841","3,135","3,242","3,556","3,953","4,504","4,785","4,553","4,793","5,220","5,728","5,664","6,410","6,813","6,942","6,738","7,021","9,078","10,214","10,822","10,549","10,933","10,772","10,284","11,168","11,983","10,627","10,080","9,907","10,370","10,321","9,901","10,390","10,998","12,384","13,393","14,349","14,995","15,919","15,986","16,265","17,075","15,872","14,550","14,672","13,904","14,477","15,039","15,026","15,345","16,201","16,696"
         School Health,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
"Total CMS Programs (Medicaid, CHIP and Medicare)",  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,"1,982","4,849","5,811","6,842","8,005","9,236","10,275","11,528","13,614","16,516","19,668","22,789","25,647","29,421","35,493","42,583","48,444","53,936","59,377","63,250","66,757","71,228","76,002","84,374","93,998","109,789","126,916","140,855","153,401","164,927","173,231","178,723","179,679","188,513","195,384","213,973","229,959","243,411","262,295","283,066","296,185","313,325","331,974","351,998","366,102","375,400","392,014","406,824","428,658","451,582","468,366","483,355","503,066","530,216","545,345"
Total Physician and Clinical Expenditures,"5,551","5,814","6,261","7,074","8,109","8,587","9,309","10,448","11,344","12,716","14,331","15,917","17,706","19,559","22,244","25,318","28,679","33,120","35,848","41,220","47,731","55,614","61,630","68,658","77,429","90,862","100,729","112,925","128,638","143,333","158,980","176,566","191,258","202,744","212,743","222,248","230,807","241,636","256,483","269,516","288,191","312,697","337,691","364,323","384,594","409,792","433,010","457,329","481,475","497,481","512,353","535,776","557,122","567,936","597,662","636,433","675,348","709,410","736,876","767,881","809,460"
     Out of pocket,"3,288","3,378","3,575","4,006","4,613","4,852","4,817","4,805","5,102","5,743","6,426","6,844","7,333","7,758","8,422","9,041","10,042","11,318","11,576","12,841","14,130","16,044","17,238","18,512","20,580","24,107","26,823","27,812","29,340","29,686","29,890","30,544","30,113","29,126","27,585","25,862","26,514","27,877","29,098","29,895","31,474","32,904","34,546","36,685","37,608","40,620","42,621","44,875","46,003","44,495","47,590","50,382","50,859","51,767","52,751","55,318","57,894","59,411","60,773","61,733","59,411"
     Health Insurance,"1,814","1,941","2,146","2,486","2,854","3,025","3,747","4,861","5,434","6,148","6,922","7,947","9,091","10,293","12,016","13,838","15,924","18,654","20,562","23,934","28,200","33,131","37,241","41,982","47,231","55,094","60,385","69,339","80,993","93,205","106,405","121,114","133,761","144,753","155,413","165,091","171,830","179,563","188,041","199,187","216,765","237,737","259,804","281,484","297,848","318,518","337,585","356,715","377,297","395,791","406,201","426,472","443,141","451,511","479,542","510,588","540,079","567,835","591,627","624,051","624,341"
          Private Health Insurance,"1,570","1,667","1,821","2,106","2,500","2,711","2,772","2,847","3,110","3,600","4,141","4,695","5,344","5,994","6,885","7,807","9,145","10,855","11,833","13,960","16,308","19,129","21,217","23,517","26,982","32,633","34,722","39,995","48,952","57,020","65,642","76,348","85,249","93,023","99,055","104,059","107,639","111,249","116,404","121,892","131,688","144,072","157,535","171,296","176,888","189,993","199,176","209,897","217,523","221,259","223,682","233,796","241,067","239,469","247,296","262,916","282,446","297,041","300,607","308,555","300,644"
          Medicare,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,443,"1,226","1,457","1,570","1,643","1,855","2,027","2,271","2,854","3,467","4,100","4,980","5,872","6,871","8,315","9,838","11,757","13,860","15,401","17,001","19,445","22,494","24,401","27,674","30,425","31,981","33,652","35,244","38,719","42,189","44,587","47,542","50,140","54,130","59,072","64,302","68,637","74,169","81,263","86,408","92,413","97,260","105,557","114,140","118,151","124,871","131,249","135,659","142,326","149,335","154,493","164,051","178,054","193,834","194,710"
          Medicaid (Title XIX),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,141,348,429,519,649,846,"1,093","1,353","1,539","1,783","1,822","1,897","1,991","2,153","2,432","2,839","2,793","3,092","3,190","3,521","4,028","4,477","4,913","5,600","7,026","9,113","11,152","12,683","13,695","14,788","15,241","16,310","16,766","17,478","19,294","21,435","24,039","25,205","27,993","30,095","31,810","33,579","35,991","40,296","43,404","45,321","47,317","51,895","64,472","70,070","73,067","74,917","78,326","83,416","86,766"
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,68,169,223,286,349,481,594,706,873,976,"1,041","1,075","1,103","1,215","1,366","1,603","1,582","1,761","1,798","1,977","2,280","2,540","2,847","3,272","4,119","5,305","6,678","7,658","8,073","8,628","8,954","9,489","9,814","10,229","11,377","12,682","14,205","15,575","17,151","17,988","18,926","19,820","22,195","27,834","30,239","28,696","28,820","32,312","44,388","48,875","51,224","51,685","53,288","57,545","64,165"
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,73,180,207,233,300,365,499,647,666,807,780,822,888,937,"1,066","1,235","1,211","1,331","1,392","1,544","1,748","1,937","2,065","2,327","2,907","3,808","4,474","5,025","5,622","6,160","6,287","6,821","6,952","7,249","7,917","8,753","9,834","9,630","10,842","12,107","12,884","13,759","13,795","12,462","13,165","16,625","18,497","19,583","20,084","21,195","21,843","23,232","25,038","25,871","22,601"
          CHIP (Title XIX and Title XXI),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,56,494,731,"1,001","1,192","1,435","1,604","1,653","2,518","2,573","2,746","2,973","3,064","3,046","3,200","3,531","3,198","3,522","3,918","4,285","4,352","4,656","4,714"
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,39,338,506,702,840,"1,015","1,125","1,158","1,717","1,778","1,906","2,070","2,121","2,117","2,219","2,451","2,231","2,607","3,556","3,897","4,018","4,200","3,944"
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,17,155,225,299,351,421,479,494,801,796,840,903,943,929,982,"1,080",968,915,362,388,333,456,770
         Department of Defense,218,248,298,352,324,284,359,408,403,420,448,502,568,605,659,681,728,798,717,797,971,"1,131","1,250","1,264","1,389","1,662","1,872","2,019","2,351","2,530","2,893","3,201","3,198","3,229","3,303","3,357","3,552","3,582","3,687","4,101","4,673","5,393","6,645","7,199","7,716","7,866","8,967","10,022","11,175","11,822","12,122","13,069","13,740","13,741","14,324","14,807","15,283","15,575","16,361","17,244","17,523"
         Department of Veterans Affairs,25,27,27,28,29,30,31,32,34,39,41,48,59,70,80,100,129,123,148,154,173,195,224,248,268,277,318,354,376,382,419,471,510,574,642,698,810,881,988,"1,092","1,307","1,534","1,757","2,179","2,386","2,503","2,700","3,383","4,305","5,302","5,779","6,369","6,567","7,217","7,924","9,938","10,871","11,966","13,927","16,346","19,984"
     Other Third Party Payers and Programs,449,494,539,582,643,709,745,781,808,824,983,"1,127","1,282","1,507","1,806","2,439","2,712","3,148","3,710","4,445","5,401","6,438","7,151","8,165","9,619","11,661","13,521","15,774","18,304","20,442","22,685","24,908","27,385","28,864","29,745","31,294","32,463","34,196","39,344","40,434","39,952","42,056","43,341","46,154","49,137","50,654","52,804","55,740","58,175","57,194","58,562","58,922","63,122","64,658","65,369","70,527","77,375","82,164","84,476","82,097","125,709"
         Worksite Health Care,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Other Private Revenues,113,120,131,146,169,197,220,228,255,290,330,374,437,511,602,712,858,"1,062","1,361","1,790","2,268","2,990","3,586","4,241","5,269","6,608","7,779","9,185","10,643","11,983","12,930","14,204","15,747","17,003","18,400","19,984","21,394","22,817","27,273","27,548","26,293","26,871","27,526","29,259","32,094","33,449","35,897","38,293","39,360","38,738","39,706","38,671","42,119","43,365","43,550","48,226","54,685","59,243","60,889","57,961","58,181"
         Indian Health Services ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,41,56,65,79,99,130,149,143,144,168,190,195,214,232,228,277,334,397,409,411,456,451,482,479,494,534,587,594,642,676,678,698,707,749,839,945,965,996,973,"1,015","1,021","1,056","1,069","1,115","1,125","1,232"
         Workers' Compensation,252,267,288,305,328,348,393,443,424,370,454,486,530,634,747,853,985,"1,127","1,222","1,448","1,612","1,806","2,032","2,274","2,652","3,289","3,853","4,504","5,346","6,355","7,175","8,011","8,689","8,803","8,183","7,994","7,980","8,292","8,966","9,652","10,132","11,197","11,626","12,378","12,365","12,435","12,073","12,285","13,366","12,754","12,922","13,672","13,711","13,864","13,799","13,382","13,415","13,265","13,303","13,068","12,243"
         General Assistance,9,10,9,9,9,9,19,24,32,41,51,62,79,99,123,152,176,202,224,245,313,354,380,422,473,524,604,665,712,610,625,576,645,656,613,633,625,638,625,464,469,504,498,607,623,638,696,790,917,993,977,875,"1,002",914,913,789,794,845,908,824,849
         Maternal/Child Health,4,7,8,10,11,14,20,25,31,38,33,38,43,40,46,51,55,58,62,66,72,72,74,78,76,95,100,110,115,120,121,137,151,153,157,155,155,160,161,167,173,179,184,188,187,185,179,194,212,200,195,188,176,179,189,188,185,190,196,196,200
                          Federal  ,2,3,4,4,5,8,13,18,22,26,20,26,32,27,33,37,40,42,45,46,47,46,46,50,43,54,53,58,61,64,62,69,74,74,74,71,68,67,66,68,69,70,71,71,71,70,67,66,66,65,64,64,61,59,61,61,62,61,63,64,65
                          State and Local,2,3,4,5,6,6,7,7,9,12,12,13,12,13,13,14,15,16,17,21,25,26,28,29,33,41,47,52,55,56,59,68,76,80,83,85,87,93,94,98,105,109,113,117,116,116,112,128,146,135,131,124,115,120,128,127,124,128,133,132,135
         Vocational Rehabilitation,8,9,10,11,12,15,23,30,34,39,49,58,59,58,67,73,81,85,86,88,87,85,88,101,111,118,125,138,148,151,150,160,172,175,182,184,184,196,200,199,201,210,219,221,222,220,235,242,246,256,269,267,266,251,229,239,246,238,235,233,231
                          Federal  ,5,6,6,7,7,10,16,22,26,30,38,45,46,46,52,57,64,66,66,67,67,64,65,74,84,90,95,106,114,117,115,123,131,131,136,138,137,148,151,151,152,160,168,170,171,170,178,181,188,197,210,209,206,195,177,184,190,184,181,180,178
                          State and Local,3,4,4,4,5,5,6,8,9,9,11,13,13,13,15,16,18,19,20,21,21,21,24,26,28,29,30,32,34,34,35,37,41,44,46,46,47,48,49,48,49,50,51,52,51,50,57,61,58,59,59,58,60,55,52,55,56,54,54,53,52
         Other Federal Programs*,29,39,49,54,52,52,31,14,18,29,53,93,119,149,204,184,155,179,242,299,419,504,469,550,515,540,558,577,595,590,660,715,782,809,858,874,898,931,979,"1,094","1,256","1,529","1,673","1,821","1,913","1,990","1,982","2,188","2,288","2,367","2,533","3,304","3,728","4,030","4,519","5,522","5,775","6,069","6,508","7,372","51,474"
         SAMHSA,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,355,328,351,410,388,476,454,356,330,330,274,281,355,484,373,717,740,769,829,914,982,743,644,627,785,863,941,970,985,"1,002","1,003",988,983,976,987,953,915,"1,057","1,015","1,084","1,086","1,144","1,166","1,241","1,235","1,220"
         Other State and Local Programs**,34,41,46,47,61,74,41,17,15,16,13,16,15,16,16,18,18,19,23,21,22,23,24,25,24,24,26,27,30,31,30,32,34,26,25,32,34,36,34,31,30,39,52,53,55,55,58,58,60,61,62,65,66,68,70,73,76,79,81,83,80
         School Health,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
"Total CMS Programs (Medicaid, CHIP and Medicare)",  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,584,"1,574","1,886","2,089","2,292","2,701","3,120","3,624","4,393","5,250","5,922","6,877","7,864","9,024","10,747","12,677","14,550","16,952","18,591","20,522","23,473","26,971","29,314","33,273","37,451","41,094","44,804","47,927","52,413","56,977","59,828","63,852","66,962","72,101","79,097","86,738","93,868","100,809","110,859","118,156","126,741","133,413","144,294","157,409","164,618","173,238","181,767","191,085","209,997","222,926","231,478","243,253","260,732","281,906","286,190"
Total Dental Services Expenditures,"1,987","2,104","2,225","2,372","2,617","2,819","2,993","3,447","3,707","4,220","4,718","5,239","5,588","6,404","7,152","8,032","9,048","10,135","11,044","11,990","13,327","15,715","16,980","18,300","19,870","21,707","23,179","25,339","27,414","29,397","31,620","33,421","37,156","39,028","41,578","44,634","46,961","50,312","53,630","57,300","62,133","67,709","73,636","76,316","82,189","87,201","91,766","97,732","102,762","103,380","105,899","108,022","109,700","111,376","114,694","119,961","126,197","131,129","137,520","143,249","142,405"
     Out of pocket,"1,906","2,018","2,135","2,275","2,515","2,703","2,826","3,148","3,322","3,789","4,243","4,678","4,947","5,621","6,128","6,517","6,930","7,549","7,918","8,237","8,699","9,957","10,444","10,926","11,516","12,212","12,658","13,118","13,846","14,485","15,316","15,863","17,322","17,727","18,642","19,759","20,551","22,583","24,239","25,645","28,058","29,734","32,553","34,000","36,332","38,510","42,194","44,734","47,628","45,662","45,255","46,139","46,772","46,967","47,257","50,359","53,020","54,753","57,133","60,221","53,198"
     Health Insurance,64,64,66,71,71,81,146,284,362,403,449,530,604,739,965,"1,433","2,009","2,450","2,966","3,572","4,415","5,489","6,239","7,049","7,994","9,082","10,080","11,736","13,053","14,355","15,725","16,930","19,128","20,554","22,128","24,008","25,479","26,744","28,372","30,579","32,905","36,738","39,804","41,075","44,608","47,390","48,262","51,657","53,777","56,257","59,141","60,415","61,439","62,895","65,965","68,136","71,632","74,788","78,736","81,243","78,721"
          Private Health Insurance,38,37,38,41,43,55,68,104,113,180,212,248,292,378,550,939,"1,486","1,900","2,442","2,995","3,753","4,736","5,582","6,385","7,368","8,376","9,314","10,920","12,200","13,468","14,695","15,667","17,606","18,528","20,032","21,826","23,215","24,357","25,778","27,837","29,830","32,814","35,021","35,865","38,976","41,267","41,707","44,389","45,265","46,104","47,908","48,851","49,594","50,580","52,551","52,919","55,595","57,920","60,957","62,059","59,707"
          Medicare,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,1,1,1,2,2,2,16,17,34,41,55,75,91,102,82,85,86,79,70,71,86,103,164,221,296,242,294,368,478,408,459,513,867,"1,201","1,946","2,559"
          Medicaid (Title XIX),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,43,138,201,168,162,179,183,228,295,364,390,424,392,440,503,581,485,501,456,510,554,591,617,638,756,945,"1,196","1,675","1,741","1,807","1,872","1,974","2,129","2,180","2,400","3,090","3,709","4,035","4,264","4,578","4,791","5,225","6,246","7,634","8,392","8,456","8,493","8,717","9,773","11,231","11,889","12,217","12,644","13,217","12,637"
