"","in_uhc_familiar","in_uhc_change","in_cap_familiar","in_cap_change","in_ai_familiar","in_ai_change","Like_Free_R","Hard_Free_R","Pol_High_1","Age_High","Gender_High","Race_High","School_High","id","conv_cond","consen_cond","utilitarian","deontological","time","uhc_support","cap_support","ai_support","uhc_mconv","cap_mconv","ai_mconv"
"244",26,25,10,30,32,33,"I liked how I had the chance to really think about the topics brought up in the exercise","I didn't know if I was thinking the right or wrong thing ",5,18,"Female","Caucasian/White","Freshman","92199","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.83333333333333,3,"pre",35,14,-30,28,18,-7.42857142857143
"245",30,20,42,-30,20,25,"I liked reading the differences in opinion people on why something is ethical. ","I had challenges judging how strongly I felt about specific topics. I also had to think hard how easily I would be swayed.",2,22,"Female","Caucasian/White","Senior","92635","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,2.66666666666667,"pre",40,-45,-30,32.1428571428571,47.1428571428571,23.7142857142857
"246",20,50,20,50,10,-20,"It gave me an idea of what the majority of people who the survey accounted for thought about each of the issues, and where I stand in comparison to them. I found that I didn't necessarily agree with the majority for two of the questions, but that's ok.","Finding that many people support Capital punishment. I find that it's often not used correctly, and I remember doing an essay on it in high school where I found studies that linked it to increased crime rates, though I don't fully remember the study or the validity of the study. But capital punishment is often mishandled, one example being the case of Marcellus Williams who had prosecutors appealing his case but was denied by the Missouri supreme court and his execution was followed through. This is just one example, but it's still a waste of resources, just as the argument for capital punishment is to deal with the wasting of resources for prisons.",1,25,"Male","Caucasian/White","Junior","92620","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.5,2.5,"pre",50,-50,-50,25.8571428571429,30,17.1428571428571
"247",-20,31,-20,20,20,25,"Thinking about my values with the three topics.  ","Rating some of the topics.  Not being too extreme on any of the topics especially since I am not as familiar with some of them.",6,19,"Female","Caucasian/White,American Indian/Alaska Native","Sophmore","91338","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.5,2.66666666666667,"pre",10,20,20,19.1428571428571,25,19.8571428571429
"248",-11,22,19,-32,27,-23,"Broad, open ended questions","Repeated questions",3,18,"Male","Asian/Pacific Islander","Freshman","91326","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.66666666666667,2.66666666666667,"pre",-3,-42,-15,12.1428571428571,42.5714285714286,22.4285714285714
"249",-28,23,-8,33,26,23,"I liked how it wasn't too long and it kept my attention the whole time.","no challenges",4,19,"Male","Caucasian/White","Freshman","91204","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,3.16666666666667,"pre",30,-15,10,14.7142857142857,4.42857142857143,4.42857142857143
"250",31,21,11,14,50,31,"It reinforced your ideas over and over again to make sure you were answering fairly ","It got a tiny bit repetitive ",7,18,"Female","Caucasian/White","Freshman","91098","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4,2.83333333333333,"pre",30,10,-27,24.1428571428571,15.7142857142857,32.2857142857143
"251",-37,20,10,18,50,1,"I liked putting my opinion on the matters discussed, i was very shocked by the percentages.","I had trouble deciding how i felt about each subject.",6,18,"Female","Caucasian/White","Freshman","91135","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4,3.5,"pre",-6,20,-11,1.42857142857143,16,-6.71428571428571
"252",25,1,50,-50,50,-1,"The way I answered the questions. ","None ",4,18,"Female","Caucasian/White","Freshman","91150","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",2.83333333333333,2.83333333333333,"pre",32,-50,23,27.8571428571429,28.4285714285714,-1.14285714285714
"253",-37,21,13,14,29,-10,"I liked the wide range of options","I don't have very much background research on Universal Health Care",6,18,"Female","Caucasian/White","Freshman","91109","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.5,3.33333333333333,"pre",7,-14,-50,15.5714285714286,18,15.7142857142857
"254",16,30,-32,20,32,-11,"I liked being able to compare my opinions with the actual American average, and then reevaluate my opinions off of that data.","I feel like I did not have super strong opinions on each of the topics for each slider question, so it was slightly challenging to stay consistent and determine what I really believed.",7,18,"Female","Caucasian/White","Freshman","91874","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4,3.33333333333333,"pre",37,-21,-50,10.8571428571429,16.2857142857143,29.4285714285714
"255",27,-23,-10,-9,16,-13,"I liked the type of questions asked","Finding the right spot to put the slider",1,18,"Female","Caucasian/White","Freshman","91353","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.5,3,"pre",16,-29,25,-2.57142857142857,7,4.85714285714286
"256",43,-9,26,-25,22,41,"Being able to talk about sensitive topics that most people do not like to talk about because it causes for conflict. ","Deciding whether or not some things applied to morality, or if they were just a matter of right or wrong. ",7,18,"Female","Caucasian/White","Freshman","91203","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.5,2.83333333333333,"pre",21,-35,22,10.8571428571429,15.5714285714286,-11.8571428571429
"257",-30,10,9,30,30,16,"Easy to respond to questions as they were phrased very well","Hard to think about how much is moral and how much consideration has to be put into feasibility and the economics of it",6,18,"Male","Caucasian/White","Freshman","91989","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4,2.33333333333333,"pre",-21,9,-17,4.42857142857143,27.1428571428571,18.4285714285714
"258",29,22,31,20,42,-11,"I liked the variety of answers for the questions asked. ","Some of the questions were hard to understand. ",7,18,"Female","Caucasian/White","Freshman","91088","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.83333333333333,3.16666666666667,"pre",39,12,-19,33.1428571428571,13.5714285714286,19
"259",17,-25,30,-26,27,-25,"I really didnt, I understand its all subjective but I dont know what I was supposed to tkae away","Where I stood morally",7,21,"Male","Caucasian/White","Junior","91741","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,2.66666666666667,"pre",-44,20,22,-15.1428571428571,32.8571428571429,-15.5714285714286
"260",4,17,-10,-15,-14,18,"It was based on research I have not heard of being done before.","N/A",6,18,"Female","Caucasian/White","Freshman","91988","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.83333333333333,3.16666666666667,"pre",43,-46,-23,17.1428571428571,16.7142857142857,4.42857142857143
"261",46,-31,-6,30,8,50,"I liked how I got to see how my opinion has changed since reading the articles. ","This exercise allowed me to reconsider where I stand on our nation's biggest questions.  ",2,19,"Female","Caucasian/White","Sophmore","92006","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.5,3.16666666666667,"pre",40,10,-50,17.8571428571429,26,22
"262",16,32,50,-50,31,26,"It made me think about my opinions and why I have them. It's easy to have an opinion but it causes deeper reflection to explain why.","For certain things I struggles if an ethical issue is what I would use to describe the prompt. Like I believe that no matter what a person should be able to get health care and I don't think that should be something ethical because that means there are some people that think it's unethical and I can't see why.",1,19,"Female","Caucasian/White","Sophmore","91431","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.5,2.5,"pre",50,-50,-31,14,22.2857142857143,6.71428571428571
"263",15,20,36,36,43,29,"The sliders helped me to give a more specific response.","The part with the estimating how people responded in 2018 was a little confusing at first.",1,19,"Female","Caucasian/White","Freshman","92389","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.5,2.66666666666667,"pre",50,-20,9,29.4285714285714,38.2857142857143,-2
"264",33,-15,36,-38,36,5,"Being able to see how most people responded. ","The slider gave me too many options rather than just a range of disagree to agree. ",2,18,"Female","Caucasian/White","Freshman","92398","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.5,3,"pre",24,-41,-29,33,44.1428571428571,20.5714285714286
"265",-26,27,-24,19,46,-13,"I liked that it showed the statistics from previous years because it was surprising to see what majority of the population thought.","Some of the questions I did not understand so I had to give it my best effort.",4,18,"Female","Caucasian/White","Freshman","92271","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,3,"pre",21,-41,50,10.4285714285714,2.28571428571429,7.42857142857143
"266",15,23,16,9,6,7,"entertaining","challenging",4,18,"Male","Caucasian/White","Freshman","91381","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3,4,"pre",6,6,9,13.7142857142857,10.7142857142857,4.57142857142857
"267",9,40,30,20,30,15,"I liked that there was a sliding bar so I could pick a number.","My level on which I believed something.",7,18,"Female","Caucasian/White","Freshman","92276","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.33333333333333,3.16666666666667,"pre",20,25,15,2.14285714285714,15.1428571428571,10.7142857142857
"268",-1,10,25,0,15,5,"It helped expand my ideas on healthcare, death penalty & AI. I haven't had a chance to sit & think about it.","I felt like a lot of the problems were repetitive. ",5,19,"Female","Caucasian/White","Freshman","92236","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.83333333333333,3.5,"pre",20,5,20,1.57142857142857,4,-1.85714285714286
"269",12,38,36,-28,26,46,"Reading about past surveys ","Asked the same question a lot which was confusing ",9,19,"Female","Caucasian/White,American Indian/Alaska Native","Freshman","91770","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.16666666666667,3.33333333333333,"pre",29,50,-17,7.14285714285714,35.4285714285714,15
"270",12,13,23,4,46,9,"That it discussed topics relevant to todays society.","The repetitiveness of the questions.",6,19,"Female","Caucasian/White","Freshman","91604","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.83333333333333,2.66666666666667,"pre",10,-4,6,21.2857142857143,15,8
"271",16,-11,-13,30,25,34,"very easy to understand ","nothing ",4,18,"Female","African-American/Black","Freshman","92477","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4,2.66666666666667,"pre",29,-4,5,24.8571428571429,14.5714285714286,-9.71428571428571
"272",-22,19,30,-10,25,30,"It was interesting to see what percentage of Americans agreed with each subject","Some things I could agrue both ways. Like the death penalty I very easily see both sides of the argument. ",5,19,"Female","Caucasian/White","Freshman","91445","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.33333333333333,2.66666666666667,"pre",-18,-30,10,13.2857142857143,29.5714285714286,-5.85714285714286
"273",-15,25,36,-50,21,31,"I liked the statistics shown from other people","placing my opinions",4,18,"Female","Caucasian/White","Freshman","92011","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.5,2.5,"pre",5,-50,-10,11.2857142857143,34.1428571428571,5.57142857142857
"274",-15,20,41,30,15,30,"I like how the question was asked several times after reading the essays to see how our answers were swayed and how much they changed. ","Some challenges that I ran into while completing the exercise were thinking deeply about the question being asked and the thinking about the way my answers were being changed. ",8,18,"Male","Caucasian/White","Freshman","92219","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.16666666666667,3.5,"pre",30,20,-20,18.7142857142857,23.5714285714286,3.71428571428571
"275",0,30,12,14,21,17,"I liked including the statistics to see what the population thinks.","The sliding bar got repetitive and was hard to really see where my opinion lays.",4,20,"Female","Caucasian/White","Sophmore","92310","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.66666666666667,3.16666666666667,"pre",10,25,3,10.5714285714286,22.4285714285714,5.14285714285714
"276",25,25,10,25,30,25,"I like how it let us show how we could show our feeling about different topics on a scale.","It asked us some of the same questions twice and I could of had answered them differently.",4,19,"Male","Caucasian/White","Freshman","92107","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.83333333333333,3,"pre",0,10,-25,4.28571428571429,7.14285714285714,4.28571428571429
"277",-29,13,25,0,23,16,"Made me think about my positions on issues.","Repetition of similarly formatted questions",5,19,"Male","Caucasian/White","Freshman","91093","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,2.66666666666667,"pre",0,3,0,-0.428571428571429,0.428571428571429,0
"278",21,20,38,20,3,31,"The subject was interesting.","I was asked to give percentages on a scale that was labeled on a scale from ""strongly disagree"" to ""strongly agree"".",1,20,"Female","Caucasian/White","Junior","91158","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.66666666666667,2,"pre",50,-50,3,50,50,5.14285714285714
"279",23,21,31,-32,40,-20,"I thought the questions were different from other studies so it was nice.","Realizing that the questions were repeating made me think about what I had chosen before",2,18,"Female","African-American/Black,Asian/Pacific Islander","Freshman","91396","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.66666666666667,3.33333333333333,"pre",33,-31,-35,0.857142857142857,21.1428571428571,8.71428571428571
"280",-25,30,1,25,23,8,"It talked about current topics in the country","I didn't have any challenges ",4,19,"Female","Caucasian/White","Freshman","92530","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.83333333333333,3.5,"pre",10,20,-27,5.42857142857143,20,23.4285714285714
"281",-20,25,11,34,13,12,"It made you think of some of the moral aspects on certain topics","Required you to really think about your stance on some of the subjects",5,18,"Male","Hispanic/Latino(a)","Freshman","91194","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.66666666666667,3.16666666666667,"pre",10,-19,2,8.71428571428571,18.1428571428571,-1.85714285714286
"282",9,5,30,5,50,-42,"I liked that there were different percentages and viewpoints shown.","I struggled trying to make up my mind on a decision for some of the questions and ratings.",7,21,"Female","Caucasian/White,Hispanic/Latino(a)","Other","91472","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4,3.33333333333333,"pre",4,13,-50,-3.28571428571429,11.8571428571429,23.4285714285714
"283",30,-30,21,2,50,11,"I honestly did not enjoy it at all. I felt I was asked the same questions 30 times","I kept having to answer the same questions",9,19,"Female","Caucasian/White","Sophmore","91491","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.16666666666667,3,"pre",-20,-1,-3,-0.714285714285714,0.428571428571429,-1.14285714285714
"284",24,34,10,21,31,10,"It made me think of real world problems, and things that are being done around me by the government. ","Understanding the ratings to some things I didn't fully believe were as high as they should've been.",7,18,"Female","Caucasian/White","Freshman","91481","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4,3.33333333333333,"pre",32,1,-10,18.4285714285714,8.14285714285714,-6.71428571428571
"285",-40,-15,10,-40,30,-10,"That there was a slider; I didn't have to pick strongly agree versus agree","The questions being the same at the end made me want to answer the same thing as I did originally and not want to pay as much attention because the questions were the same.",3,19,"Female","Caucasian/White","Sophmore","91694","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.16666666666667,2.16666666666667,"pre",10,40,-45,0,25,20.7142857142857
"286",-7,8,-8,5,5,-5,"things I liked were being able to give input based on what I believe and don't believe as far as AI, death penalty, health care services, etc. ","I found challenges in having to form an opinion on things I may have not considered before. ",4,19,"Female","Caucasian/White","Freshman","92301","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.66666666666667,3.16666666666667,"pre",16,20,-16,5.28571428571429,-1,0.571428571428571
"287",-11,15,10,4,37,11,"I like how I could compare my first responses and then my responses after I read the passages ","Being able to pick a number on the sliding scales ",3,19,"Female","Caucasian/White","Sophmore","91901","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4,3.5,"pre",9,-6,25,4.14285714285714,4.28571428571429,3.28571428571429
"288",-10,20,0,10,25,5,"I liked that I had a wide range on the scale because I am not always 100% agreeing or disagreeing with a statement","I was confusing the information of some the articles because I read one after another",2,18,"Female","Caucasian/White","Freshman","91858","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4,3,"pre",30,-10,-43,0,2,3.57142857142857
"289",36,24,50,-31,50,-50,"It got to the point. ","N/A",4,18,"Female","Caucasian/White","Freshman","91331","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.66666666666667,3.16666666666667,"pre",-12,16,-50,-3.42857142857143,8,-14.5714285714286
"290",27,-39,44,-15,31,-19,"Gave lots of different ways to answer the questions. ","I had none. ",1,18,"Female","Caucasian/White","Freshman","91849","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.5,3,"pre",45,26,-18,41.5714285714286,31.7142857142857,-20.1428571428571
"291",-22,34,-21,11,33,18,"I liked that it gave me a range to pick from about my opinion. ","Not knowing a lot about the topics at hand.",2,18,"Female","Caucasian/White","Freshman","91114","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.5,3.33333333333333,"pre",31,-20,-10,5.57142857142857,29.8571428571429,7.71428571428571
"292",35,18,46,-43,37,14,"Being able to use a slider to choose my level","Thinking about the moral implications of AI",1,19,"Male","Caucasian/White","Freshman","91367","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.33333333333333,2.83333333333333,"pre",50,-46,-50,17.7142857142857,42.4285714285714,11.4285714285714
"293",-26,32,26,-30,22,16,"I liked how they gave other opinions and let you decide before seeing that. ","I had challenges with deciding which are moral problems like AI. ",6,18,"Female","Caucasian/White","Freshman","91360","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.83333333333333,3,"pre",11,-48,13,12,18.7142857142857,-1
"294",26,36,11,41,21,24,"It was very easy to follow. ","There seemed to be repeated questions for different groups of people which became a little confusing. ",4,18,"Female","Caucasian/White","Freshman","91281","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,3,"pre",10,-25,0,11.1428571428571,7.14285714285714,13.4285714285714
"295",-34,30,-50,50,27,27,"I liked the repeat of questions after reading the material.","I didn't have a lot of knowledge on some of the topics. ",4,18,"Female","Caucasian/White","Freshman","91418","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.83333333333333,3.66666666666667,"pre",11,7,-50,-19.8571428571429,-31,21.4285714285714
"296",-50,1,1,14,21,-2,"I liked that I could be in the middle of different opinions. ","It asked me the same question muiltple times. ",8,18,"Female","Caucasian/White","Freshman","91113","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3,3.5,"pre",14,29,-45,3.57142857142857,3.71428571428571,-13.4285714285714
"297",12,14,7,14,36,26,"It is eye-opening","Estimating that stats from 2018. ",1,18,"Female","Caucasian/White","Freshman","92399","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.66666666666667,3.66666666666667,"pre",34,-28,-16,37.5714285714286,20.1428571428571,1.28571428571429
"298",1,11,29,-28,32,32,"I liked that they are all very common topics that need to be addressed, and they were all something I knew about and understood.","There weren't really any challenges.",2,21,"Female","Caucasian/White","Junior","91854","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,2.83333333333333,"pre",46,-41,0,16.8571428571429,17.8571428571429,3.85714285714286
"299",-20,30,21,24,21,21,"The slider allowed for a more precise answer","Thinking about serious moral issues",4,18,"Male","Caucasian/White","Freshman","92346","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.16666666666667,3,"pre",0,-10,21,23.4285714285714,22.1428571428571,4.42857142857143
"300",-36,42,23,-19,15,26,"the information I got from AI it was really interesting and the comparison between how healthcare involves the morals and decision making behind it.","Well it took some critical thinking skills and you really had to keep an open mind and think about the big picture.",2,19,"Female","Caucasian/White,Asian/Pacific Islander","Freshman","91835","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",2.16666666666667,4.16666666666667,"pre",32,19,13,16.4285714285714,-2.57142857142857,13.7142857142857
"301",25,35,50,-33,32,18,"I liked how the scale was used instead of just multiple choice. ","I had trouble remembering the exact data from the essays shown. ",1,20,"Female","Caucasian/White","Sophmore","91897","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.5,2.16666666666667,"pre",31,-50,5,42.1428571428571,35.7142857142857,19.1428571428571
"302",-42,27,20,-5,20,15,"I liked the issues that were presented to me. They are popular conversations that are occurring in our society. ","I did not really understand the questions or situations I had to ""agree"" or ""disagree"" with. ",4,18,"Female","Caucasian/White","Freshman","91735","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.16666666666667,3.33333333333333,"pre",6,20,-10,0.142857142857143,5.71428571428571,28
"303",40,-39,50,-47,50,-40,"very easy layout and setup; made everything easier to understand :) i also liked that i learned something out of it","the questions about morals were a bit repetitive/hard to differentiate",2,18,"Female","Caucasian/White","Freshman","92664","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.66666666666667,3.5,"pre",50,-50,-50,50,50,42.4285714285714
"304",20,32,39,-31,41,19,"The concepts were interesting. ","The repetitiveness. ",1,20,"Female","Caucasian/White","Sophmore","92463","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.33333333333333,3.5,"pre",32,-29,24,27.8571428571429,21.8571428571429,2.28571428571429
"305",15,17,12,-20,29,-14,"That I read essays and articles that could possibly sway my opition, then answer the same questions after reading them","Remembering what I said prior to reading the essays, and thinking about how right or wrong things are, and using my rationale",2,19,"Male","Caucasian/White","Freshman","92343","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.83333333333333,2.83333333333333,"pre",7,31,-10,20,5.28571428571429,-2.71428571428571
"306",30,-30,30,-40,40,-20,"I liked how easy this exercise was to understand. ","The challenges I had was deciding my answers to some of the questions. ",1,18,"Female","Caucasian/White","Freshman","92464","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.16666666666667,3,"pre",40,-40,-30,32.1428571428571,37.8571428571429,30.2857142857143
"307",12,20,50,-50,30,-43,"N/A","N/A",7,18,"Female","Caucasian/White","Freshman","92395","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.16666666666667,3.5,"pre",22,50,-50,12,47.8571428571429,34.5714285714286
"308",1,27,20,15,34,-20,"I liked forming opinions on things I do not think of often. It was an interesting challenge.","Some of the system was confusing, especially when rating percentages as it relied on a scale -50 through 50 when percentages would be 0 through a 100. ",3,18,"Female","Caucasian/White","Freshman","92129","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.16666666666667,3,"pre",9,11,-31,30.4285714285714,35.1428571428571,27.8571428571429
"309",20,15,45,-25,20,30,"I liked that there was a sliding scale for me to explain my standpoint on how I felt about each topic. I felt I was able to accurately represent my standpoint because of this. ","I felt that some of the questions (specifically about AI) could have been more clear or definitive. ",3,18,"Female","Caucasian/White","Freshman","91763","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.5,2,"pre",20,-50,-15,22,30.7142857142857,2.14285714285714
"310",10,0,12,-50,32,13,"I liked all the specificities about the three big topics and my position on them.","it felt a little repetitive.",4,18,"Female","Caucasian/White","Freshman","91179","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.66666666666667,3.5,"pre",0,-50,-31,3.28571428571429,17.2857142857143,11
"311",-16,17,30,-12,29,-30,"I liked how it had around 100 numbers on the slider, and how it asked the same questions again","understanding some of the questions",9,19,"Male","Caucasian/White","Freshman","91128","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.16666666666667,4,"pre",-33,-30,50,-0.714285714285714,17.1428571428571,-13.1428571428571
"312",-20,31,13,-10,24,-17,"It was easy to answer the questions.","It tested my thoughts and morals.",7,18,"Male","Caucasian/White","Freshman","91345","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.33333333333333,3.16666666666667,"pre",20,10,-10,16.7142857142857,18.1428571428571,8.42857142857143
"313",22,-5,50,-3,18,1,"The easy slide scale system ","how many of the same questions were asked ",6,18,"Male","Caucasian/White","Freshman","91657","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.16666666666667,2.83333333333333,"pre",-19,5,15,0.857142857142857,15.7142857142857,-1.28571428571429
"314",37,13,31,14,40,22,"That there was a scale on the questions","what the difference between Morals and Ethics is.",7,19,"Male","Asian/Pacific Islander","Sophmore","91883","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.33333333333333,3.16666666666667,"pre",-50,15,7,-4.57142857142857,8.28571428571429,18
"315",0,16,10,10,11,4,"I liked the topics of the questions because they really made me think about my stances on these topics.","It took me a bit to actually think about the questions.",4,18,"Female","African-American/Black","Freshman","91779","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.16666666666667,2.66666666666667,"pre",20,25,-21,12.4285714285714,29.4285714285714,16.1428571428571
"316",-10,19,-12,24,31,32,"It was easy because it is my opinion.","I had none.",7,19,"Male","Caucasian/White","Freshman","91807","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.66666666666667,3.83333333333333,"pre",21,21,10,19.2857142857143,3.14285714285714,6.57142857142857
"317",40,-20,45,-50,25,-50,"I liked how you all showed the results from the 2018 poll. ","Keeping interest when reading the essays. ",1,18,"Male","Caucasian/White","Freshman","91250","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.83333333333333,2.5,"pre",50,-50,-50,22.7142857142857,25.7142857142857,-3.57142857142857
"318",6,29,34,-18,41,-19,"I think these are topics that are very relevant to today especially as I am at the age where I can now vote. ","Some of the topics I am not as passionate about so it wasn't as important for me to answer these. ",4,18,"Female","Caucasian/White","Freshman","91730","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4,3,"pre",31,-17,-31,31.1428571428571,31,18.7142857142857
"319",45,-40,41,-10,41,10,"Quick and easy. ","N/A",7,19,"Male","Caucasian/White","Sophmore","91085","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4,4,"pre",-50,40,31,-11.5714285714286,22.2857142857143,-10.2857142857143
"320",21,19,50,-41,50,50,"N/A","N/A",3,19,"Female","Caucasian/White","Freshman","91980","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",2,2.5,"pre",50,-50,50,-5.28571428571429,41.8571428571429,-6
"321",0,-17,-22,3,1,1,"the questions on problems in the U.S.","moral beliefs and questions on universal health and not in the health field",9,18,"Male","Caucasian/White","Freshman","91123","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,4,"pre",4,7,2,2.85714285714286,-0.428571428571429,-0.714285714285714
"322",21,14,28,-50,50,4,"I liked how easy it was to understand and complete. ","None",3,19,"Female","Caucasian/White","Freshman","91818","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4,2.5,"pre",50,-50,15,29.7142857142857,36.7142857142857,-7.85714285714286
"323",31,16,30,32,34,28,"The topics discussed because they are very prominent in today's day and age. ","Choosing the slider location ",8,19,"Female","Caucasian/White","Freshman","92027","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.83333333333333,2.83333333333333,"pre",-31,-37,25,10.7142857142857,28.2857142857143,23.4285714285714
"324",10,30,10,20,35,15,"I liked how it let me give my opinions first, then read how others on surveys responded, and then allowing em to answer again while thinking of those surveys.","I did not have any challenges.",3,18,"Male","Caucasian/White","Freshman","91615","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.33333333333333,2.16666666666667,"pre",15,-40,-20,23.5714285714286,20,-1.57142857142857
"325",2,6,4,3,3,5,"EVerything","not much",3,19,"Male","Caucasian/White","Freshman","91862","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3,3,"pre",3,3,3,2.85714285714286,2.85714285714286,2.42857142857143
"326",7,11,23,7,30,-10,"I liked how there was a scale to rate how you felt so that it was not so black and white in my response. ","I have mixed emotions on some topics, so it was difficult to rate my opinion. ",6,18,"Female","Caucasian/White","Freshman","92137","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.66666666666667,3.33333333333333,"pre",20,9,-50,14.7142857142857,9.28571428571429,18.1428571428571
"327",-25,31,23,10,19,10,"the opinion based by the sliders","nothing",5,18,"Male","Caucasian/White","Freshman","92281","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4,2.83333333333333,"pre",24,0,-50,7.71428571428571,23,7.57142857142857
"328",50,-10,50,-40,50,-50,"It let me answer on all the topics again after seeing how other Americans thought. ","Some of the questions seemed very similar so it was hard for me to really differentiate any of my answers. ",5,18,"Male","Caucasian/White","Freshman","92523","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.33333333333333,3.16666666666667,"pre",20,-40,-50,32.8571428571429,50,-31.4285714285714
"329",-50,20,-20,20,31,8,"The ability to specify the number instead of picking in intervals of 5","Not many other than tweaking a few numbers from the first time I took the survey",6,18,"Male","Caucasian/White,Hispanic/Latino(a)","Freshman","92285","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.16666666666667,3.33333333333333,"pre",1,-10,-21,4.71428571428571,4.28571428571429,11.7142857142857
