"","X","Duration..in.seconds.","Pre_P1","Pre_P2","Pre_P3","Pre_P4","UTIL_1","UTIL_2","UTIL_3","UTIL_4","UTIL_5","UTIL_6","DEON_1","DEON_2","DEON_3","DEON_4","DEON_5","DEON_6","SILS_1_1","NLINE","SNS_SCORE","condition","P1","P2","P3","P4","Suprise_1","Suprise_2","Suprise_3","Suprise_4","GSS_1","GSS_2","GSS_3","GSS_4","CRR_1","CRR_2","CRR_3","CRR_4","Age","Gender","Race","School_Year","Like_Free_Response","Hard_Free_Response"
"92",199,1032,100,30,0,100,3,4,5,4,2,4,1,2,3,2,2,2,4,1.21350636848532,3.5,"High",100,50,0,100,1,1,2,5,100,50,0,100,80,60,30,100,18,1,"6",1,"It made me think back on how I thought in the past vs how I think now. ","Recalling my old mindset was a little tough because it was 5 years ago. "
"93",200,511,100,86,59,100,4,4,5,5,2,5,1,2,1,3,2,3,4,1.28516518218623,5,"High",94,88,41,100,3,4,1,1,69,52,72,100,92,90,52,100,19,2,"1",1,"Thinking critically about important issues and reflecting upon my feelings about them.","Seeing the way people answer ethical questions is strange"
"94",203,830,100,61,100,100,4,4,4,3,5,4,1,4,4,3,4,4,4,4.16710453055716,3.875,"High",100,50,100,100,1,2,1,1,61,20,83,100,95,75,50,100,18,2,"1",1,"I liked the reflection to what people thought about certain issues a few years back. ","I had trouble forgetting whether the assessment was asking me the questions, or asking questions about the general public. "
"95",205,619,90,50,50,100,4,4,4,2,3,4,2,2,2,3,3,4,4,4.05352708694814,2.75,"High",67,50,50,100,3,4,4,1,66,40,51,95,74,87,76,98,19,1,"1",2,"I like how the exercise went back to the original questions. If the response changed when you saw the group thinking. ","Try to differ from my opinion and the opinion of the people in 2018 and 2023 which one was which."
"96",207,344,100,49,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,4.37925737420474,1.875,"High",100,49,0,100,4,1,3,1,100,51,0,0,100,51,0,100,19,2,"1",2,"I like how it really made you think about your own thoughts vs the population ","I just don't know hat the general population thinks because everyone has their own opinion "
"97",209,800,70,22,88,100,4,3,4,3,4,2,3,4,4,4,4,4,5,0.522206246385194,5.125,"High",61,26,91,100,4,5,1,1,51,41,83,100,91,95,70,100,18,1,"1",1,"Getting to know how the public responded.","I didn't understand some of the questions after the first set of sliders."
"98",212,361,100,21,0,100,4,4,5,4,5,4,4,4,3,4,3,3,5,5.34538569500675,2.875,"High",100,32,1,100,4,5,5,1,100,2,1,100,81,81,40,100,21,2,"1",4,"I liked the scale and thought it was interesting ","None"
"99",214,1160,100,100,0,100,2,4,5,4,5,5,3,2,2,3,2,1,3,0.706949103528051,3.5,"High",100,100,0,100,3,5,4,2,60,5,30,80,80,70,80,95,18,2,"1,5",1,"I liked the insight I got into how the American public feels about important issues. I was also pleasantly surprised at most of the answers.","I definitely had issues with quantifying the specific percentage I thought the American public agreed with the issues presented."
"100",216,1070,75,100,70,100,3,4,4,4,5,5,2,1,2,2,4,3,5,0.815617479596427,4.75,"High",75,90,74,100,1,3,4,2,70,88,92,70,92,90,60,100,19,2,"1",1,"I really liked how it compared political ideals to different times. I also liked how it shared the actual statistics after expressing what I thought.","Trying to recall how I responded to certain questions, in comparison to how others might."
"101",217,835,85,80,29,100,3,4,5,3,3,4,3,2,3,2,3,3,4,1.603046051025,3.5,"High",90,100,50,100,1,2,5,1,60,60,40,90,90,90,70,100,18,2,"2",1,"The comparison between what I perceived Americans would rank certain issues and the actual answer.","As a young adult I don't have much of a political opinion so questions regarding my own values were a little difficult."
"102",219,553,51,30,67,100,4,3,4,4,3,4,2,2,3,2,4,2,4,4.41030954308849,4,"High",51,49,58,100,2,1,5,1,83,83,15,100,82,78,58,100,18,2,"1",1,"I liked how I got to guess the percentages and then I was given the actual percentages. ","None"
"103",222,1056,88,51,15,100,4,4,4,4,5,5,2,4,2,4,2,4,5,2.58785240023135,4.875,"High",75,57,10,100,1,3,4,1,67,52,4,100,94,95,88,100,19,1,"1",2,"The comparison between 2018 and now. ","None. "
"104",223,814,56,88,51,100,4,4,3,4,4,5,1,2,2,3,2,5,4,0.904499646552278,3.75,"High",100,74,33,100,3,3,5,1,36,23,62,100,85,78,16,100,19,1,"3",1,"how it was based on a scale of 1-100 instead of 5 answers such as strongly agreed, slightly agreed, etc.","truly thinking about what people years ago thought about these topics."
"105",226,1135,62,81,1,100,4,4,4,3,4,4,2,3,3,3,3,4,3,1.57068694813958,3.375,"High",69,85,0,100,1,1,5,1,48,65,21,100,80,69,28,100,18,2,"1",1,"I liked how it gave you the actual numbers after I completed what I thought. It really put stuff into perception.","I had a hard time putting my personal feelings aside when I had to think about what the majority would say."
"106",229,4421,90,70,20,100,4,4,5,5,4,4,1,4,2,2,3,2,3,0.357861924040871,4.5,"High",90,75,20,100,1,5,5,1,60,50,40,90,80,85,60,99,19,2,"1",1,"I liked that I had to record my own opinion before and after seeing the public opinion numbers, because I think my after opinion was different than my before opinion which was interesting to see how it was influenced.","I had a hard time guessing what the general public's opinions would be on many of the questions because between the differences what you see presented in the media and what you hear from the real people around you, it's sometimes hard to know what the reality is for how most people in America think."
"107",230,546,100,49,13,100,5,4,4,5,5,5,2,3,4,4,4,4,5,4.10285837671101,2.875,"High",100,43,1,100,1,3,2,4,40,51,73,100,82,52,82,100,19,2,"",1,"makes you think","thinking back to 2018"
"108",233,416,52,22,49,64,5,4,4,4,4,4,5,4,4,4,4,4,4,6.16430315532421,4.375,"High",80,59,16,94,4,4,4,4,73,56,74,100,79,74,27,100,18,2,"1",1,"I liked the scale for answering the questions because it was so specific and I liked how the questions repeated. "," No challenges really, I just had to maintain focus and think my answers through"
"109",235,200,51,50,50,49,3,3,3,3,3,3,3,3,3,3,3,3,3,5.44149363151468,3,"High",50,49,50,49,3,3,3,3,52,51,51,50,49,51,50,50,19,2,"1,5",1,"Nothing","Nothing"
"110",239,608,100,65,0,80,4,3,4,3,3,4,2,2,3,3,2,4,4,4.04586008611272,2,"High",100,70,1,64,1,2,5,1,50,50,25,40,80,65,10,80,21,2,"1",3,"I got to express my opinions","I think its difficult to know how the general population thinks"
"111",240,367,70,42,99,100,4,4,5,5,5,5,2,2,4,4,3,5,4,4.02478569500675,2.625,"High",70,57,100,100,1,1,2,1,76,45,91,100,81,92,57,100,18,2,"1",1,"I liked comparing the views of 2018 vs 2023.","I had to do research on Greenhouse gas emissions because I am not 100% sure of what it means and its affects."
"112",243,927,50,36,72,91,4,3,5,3,4,4,2,3,3,3,4,3,3,0.712741250562303,5.125,"High",61,51,83,100,2,3,1,1,87,88,52,95,91,92,81,99,21,1,"1",4,"It was interesting to see how things changed over the past 5 years. ","Thinking about the ethics. "
"113",245,534,83,87,42,100,3,3,4,3,5,5,2,2,3,2,2,4,4,0.949061924040871,4,"High",86,93,56,100,2,3,1,1,62,65,84,95,96,97,46,100,18,2,"1",1,"I liked that I was told the true numbers of what I estimated","No challenges."
"114",247,162,51,49,48,48,3,3,3,3,3,3,3,3,3,3,3,3,3,7.80078569500675,2,"High",49,49,50,51,3,3,3,3,50,50,50,48,50,50,50,51,18,2,"3",1,"unsure","unsure"
"115",249,911,90,100,15,100,4,4,5,5,4,5,1,1,3,2,2,3,2,0.600710879763511,3.375,"High",95,100,10,100,1,4,4,1,63,45,66,100,70,85,68,100,18,1,"1",1,"It has an element of understanding others opinions and your own. ","Not allowing personal bias to effect how I answer the american population would answer."
"116",251,426,55,60,60,56,3,3,3,3,3,3,3,3,3,3,3,3,2,4.1726378638905,4.125,"High",70,71,78,75,3,3,3,3,60,59,61,58,56,59,63,58,19,1,"1",2,"show the study statistics compared to how i answered","none"
"117",253,456,75,53,3,100,3,3,3,3,3,3,3,3,3,3,3,3,1,3.2870378638905,2.375,"High",62,52,1,100,1,3,4,1,76,51,2,100,78,59,51,100,19,2,"1",1,"questions were easy to understand","sliding the bar with my mouse"
"118",256,436,61,20,30,100,3,3,4,4,3,4,3,3,4,2,4,3,5,1.01161577019472,5.25,"High",61,30,19,100,2,2,3,1,50,50,50,86,82,91,61,99,18,2,"1",1,"The questions were not hard to answer and were worded nicely. ","No challenges :)"
"119",257,1009,82,90,53,100,4,4,5,5,4,3,1,1,3,3,3,2,3,1.56111906689801,3.875,"High",83,84,53,100,1,4,2,1,65,60,79,100,86,88,55,100,18,2,"3",1,"There was a spectrum/range of how you could answer, it wasn't just agree or disagree. ","The statements were kind of open to interpretation."
"120",260,1954,85,77,1,100,3,4,5,3,5,4,2,3,3,2,4,4,3,1.73382696484802,3.375,"High",90,80,10,100,1,1,5,1,46,41,20,73,91,93,40,100,20,2,"1",2,"it showed us the actual results of the studies that were done","ethical rights and knowing what should happen but not"
"121",262,465,81,66,54,100,4,4,4,5,4,4,2,2,4,4,2,2,4,0.711377546430178,4.375,"High",71,69,52,100,1,1,3,1,72,92,29,100,91,93,21,100,18,1,"1",1,"Pretty quick and easy. Learned some new information about peoples stance on controversial issues in the past","always feel a little uncomfortable answering questions about highly debated topics, dont want to be shunned for my opinions"
"122",264,676,80,81,7,100,4,4,5,4,5,5,1,1,3,2,2,2,4,2.49204283786389,4.125,"High",96,79,2,100,3,3,5,1,57,46,32,96,85,83,23,100,18,2,"1",1,"Simple, quick, and straightforward.","None."
"123",265,452,84,62,44,100,4,4,4,4,3,4,2,4,2,4,3,4,3,0.929071447850395,3.25,"High",78,80,84,100,2,1,4,1,85,83,100,100,89,76,88,100,NA,2,"1",1,"I liked how previous answers were incorporated in the study.","Deciding whether or not I thought certain things were ethical or not."
"124",268,1778,100,100,20,100,4,4,5,5,5,5,3,1,2,3,4,2,2,0.430517228969861,3,"High",100,100,40,100,1,2,4,1,60,53,42,95,86,88,60,100,18,1,"1",1,"It's interesting and also relieving to see the amount of people who agree on these issues. ","Recalling the attitudes toward the provided issues in 2018"
"125",269,779,59,70,10,100,4,4,4,4,4,4,2,4,2,2,3,3,5,1.73990636848532,2.75,"High",60,89,6,100,2,2,4,1,40,55,25,98,85,88,35,100,18,2,"1",1,"it was insightful to see other peoples opinions on world issues.","it was hard for me to really think of what exact percent I agree or disagree with these issues. "
"126",271,2136,100,80,70,100,4,3,4,3,4,4,3,4,3,3,4,2,4,1.48164885290148,4.625,"High",90,90,30,100,3,1,1,1,60,90,80,80,95,80,35,95,18,2,"1",1,"I liked how the survey showed the results of how people felt on the issues presented in 2018. ","I had a little bit of a hard time understanding some of the questions. "
"127",274,567,89,84,0,100,4,4,4,4,4,4,2,1,3,3,4,4,3,2.67771087976351,4.125,"High",81,80,9,100,2,3,4,3,88,88,0,100,89,89,0,0,18,2,"1",1,"I liked that I got to see the U.S population statistics on each question. ","I kept having to rethink my answers."
"128",276,696,80,100,10,100,4,5,4,4,5,5,2,3,1,1,4,3,4,3.96546008611272,3.875,"High",80,100,45,100,1,2,5,1,81,96,30,100,75,91,50,100,19,2,"1",1,"Seeing how the public's views on these issues correlate with my own.","deciding if death penalty should be implemented. deciding if someone is worthy enough to die is a big responsibility and kind of a scary thought"
"129",278,506,41,48,22,94,4,4,3,3,3,4,3,4,3,3,3,4,3,4.88438569500675,2.875,"High",57,63,8,100,3,1,5,1,41,30,18,100,84,90,18,100,19,2,"1",1,"The information about past results ","Some things were harder to understand "
"130",280,1293,84,50,33,100,5,5,5,4,4,5,2,2,2,2,3,2,4,0.83467291305186,4.625,"High",80,50,40,100,1,4,3,1,50,33,60,97,73,88,67,100,19,1,"1",2,"I liked learning about how the general American population viewed these issues, especially because I was somewhat surprised at the results.","A challenge I faced was trying to determine how many people agree/disagree with the death penalty. Most of the people that I'm around I think would argue that it's not necessary, but thinking for the entire nation the percentages will differ from my immediate social group. "
"131",282,607,80,80,10,100,4,5,5,3,3,4,3,5,3,4,4,3,4,0.501484146263094,5.5,"High",91,99,7,100,1,1,5,1,50,70,20,100,79,89,37,100,18,1,"1,3",1,"I like that it asked me to predict the percentages then it showed the correct ones.","None"
"132",283,572,100,67,51,100,5,5,5,3,2,4,3,2,3,3,3,2,1,4.6890064520275,3,"High",99,76,50,100,4,2,3,1,92,76,54,100,97,93,51,100,18,2,"1",1,"I like the comparison of what I think compared to others","To think about the problems "
"133",285,1204,50,0,65,100,3,3,4,4,4,4,1,3,3,4,3,2,5,0.666363511342459,4.25,"High",50,0,75,100,1,5,3,1,60,35,50,95,71,65,81,99,19,1,"1",2,"It was very clear what I was being asked. I had been expecting more specific events from 2018, so I was a little worried at the beginning that I would not remember much about some of them. However, all of the events were very broad and highly apply to today.","I did not really have any challenges. I am curious however what demographic primarily made up the survey data."
"134",288,634,61,51,57,80,4,5,4,4,3,3,4,2,2,3,4,4,4,4.44358569500675,3.5,"High",69,60,49,100,1,4,4,1,60,40,30,65,75,70,70,100,18,2,"1",1,"the percentages and finding out the facts","I would say just guessing how everyone else feels ab these topics "
"135",290,823,83,85,24,100,3,3,4,4,5,5,3,4,2,2,3,4,4,4.26308059893323,3.375,"High",87,3,13,100,1,2,4,1,77,88,19,99,70,61,51,100,18,2,"6",1,"Comparing ethics from different time periods","Really thinking about what I personally think."
"136",291,593,100,64,50,100,4,5,4,5,5,4,1,2,3,3,2,3,3,1.31378255896151,4.625,"High",100,62,38,100,3,1,5,1,50,91,53,99,100,60,39,100,18,2,"1",1,"I liked that it showed me the actual study results for the 2018 survey and allowed me to show my opinion on the results.","Trying to assume what the population would agree with as the opinions on these issues are for the most part, very divided."
"137",293,659,100,85,25,100,4,4,5,4,4,5,1,3,3,3,4,4,3,1.79369500674764,4.5,"High",100,80,25,100,1,2,2,1,70,50,65,98,75,65,65,100,18,2,"1",1,"I liked the scales. ","Some questions really made me think and I could see both sides for agree and disagree. "
"138",297,908,100,71,34,100,3,4,2,4,4,4,1,2,3,4,4,4,3,1.25206192404087,3.625,"High",100,84,38,100,1,4,4,2,48,48,64,84,73,82,60,99,18,1,"1",1,"The restating of one's personal opinions on the discussed topics in order to verify whether our responses are replicable. ","My mouse refused to click on the slider and kept highlighting the numbers instead. "
"139",299,585,100,100,10,100,3,4,5,2,4,4,1,1,2,3,4,4,2,2.24513945119208,3,"High",100,100,25,100,4,3,2,1,80,60,50,90,90,95,70,100,19,1,"3",2,"gives good insight into what people think","not really anything, just offering my thoughts"
"140",300,602,100,100,0,100,3,4,5,1,3,5,1,1,2,3,3,3,5,0.962061924040871,5.125,"High",100,100,85,100,4,1,5,5,75,92,20,61,90,95,92,100,21,3,"2",1,"It was interesting to see the actual data from surveys taken","None"
"141",303,522863,71,30,71,100,3,4,3,4,2,3,2,3,3,3,4,4,5,0.926903155324208,5,"High",76,59,100,100,1,5,3,1,68,44,38,88,96,80,89,100,19,1,"1",2,"How thorough the experiment was.","None really."
"142",304,431,60,100,0,100,3,3,2,4,5,5,3,5,3,3,3,3,4,4.6662378638905,3.25,"High",60,100,0,100,1,3,5,1,50,97,0,0,51,99,0,100,18,2,"1",1,"the different point of views that you asked me to answer in.","the repetitiveness "
"143",306,1145,100,20,60,80,2,4,5,3,2,2,3,4,1,3,2,2,4,1.00094091639355,4.75,"High",80,50,75,90,4,1,2,1,60,50,70,90,75,77,70,100,19,1,"1",2,"I Liked how after i gave my guesses for the percentages you provided me with the numbers so i can compare.","I had some challenges with some of the agree questions as they were very thought provoking."
"144",309,688,80,65,50,100,4,4,5,4,4,4,4,4,3,4,4,3,3,4.07502345607609,2.875,"High",92,91,36,100,3,3,2,3,91,100,52,100,71,80,71,100,19,2,"1",1,"i found it interesting to think about what other people thought of a certain situation.","i did not really have challenges"
"145",311,280,64,75,65,74,4,3,4,3,3,4,4,3,3,4,4,4,4,0.801147638326585,4.375,"High",81,78,86,87,4,3,4,4,78,80,82,85,86,82,86,83,18,1,"1",1,"I like how it has a neither agree or disagree button","Some of the wording was hard to comprehend"
"146",313,581,100,56,65,100,3,4,4,4,4,4,1,1,3,3,4,4,4,0.722666435319067,4.25,"High",100,85,85,100,3,1,4,1,86,84,50,96,85,78,76,99,19,2,"1",1,"I liked how you guys surveyed people from 5 years ago to now to see how things have changed ","none "
"147",314,517,35,100,0,100,2,2,2,3,4,5,2,2,3,2,3,2,2,7.51287140929246,3,"High",100,100,0,100,1,2,3,1,81,100,0,100,100,100,0,100,19,2,"2",2,"it ask how surprised i am about the questions that were asked ","i dont know much about green house gasses "
"148",317,386,82,92,62,85,4,4,3,4,3,4,5,3,5,5,3,5,5,6.73251756313862,5,"High",90,94,91,89,3,4,5,4,81,76,76,76,80,88,86,82,19,1,"1,3",2,"how it relates to the general public","giving my opinion on controversial topics "
"149",318,425,100,90,10,100,4,4,5,4,3,3,3,3,2,2,2,2,4,1.2437997686524,3.25,"High",100,100,10,100,1,1,3,1,70,70,70,70,80,90,70,95,20,2,"1",3,"I liked being able to guess how people answered and then getting to see how they actually responded. ","I didn't have any challenges.
"
"150",321,529,64,95,0,100,5,5,5,4,4,4,2,4,5,5,2,2,5,4.04122834008097,3.625,"High",60,89,5,100,2,4,5,1,76,90,0,100,69,96,69,100,18,2,"1",1,"I found it interesting to see the thoughts of whenever this was taken previously, and how it could potientially of changed now into 2023. ","Not having enough background information on things such as health care in the US "
"151",323,587,50,100,60,100,3,5,3,3,2,5,3,4,3,4,3,4,4,6.20493945119208,2.875,"High",50,100,60,100,1,1,1,1,42,66,83,100,81,100,89,100,20,2,"1",2,"Seeing how peoples views have changed from a couple years ago","Didn't understand some topics"
"152",325,388,32,47,75,100,3,4,4,3,4,5,2,4,3,4,2,3,4,3.61187458389564,2.875,"High",36,45,73,100,3,3,1,1,38,62,76,100,38,49,75,100,22,1,"1",4,"It was short and to the point","They were just repeating the same questions"
"153",328,946,50,70,0,100,4,4,4,4,5,5,4,5,3,3,4,2,2,0.84424283786389,3.875,"High",50,60,0,100,1,1,5,1,60,70,30,100,60,70,30,100,18,2,"1",1,"I liked how once you guessed how many people agreed or disagreed with the statements in 2018, they told us the correct answers so that we could see if we were surprised or not.","Some challenges I had were that parts of the survey were very repetitive."
"154",332,568,55,79,0,100,3,4,2,5,4,4,3,4,3,3,3,3,3,5.92404885290148,3.375,"High",75,81,0,100,2,3,5,3,76,77,0,100,82,78,0,100,19,2,"1",1,"I like how clear the questions were and how they provided feedback. ","I did not understand some of the questions. "
"155",334,535917,89,73,29,100,4,4,4,3,5,5,2,2,2,2,3,3,3,2.79490453055716,3.125,"High",97,88,13,100,4,4,4,2,45,25,4,51,86,73,50,87,18,1,"1",1,"I liked getting to estimate what other people guessed in different years. ","N/A"
"156",335,318,15,9,100,53,1,2,3,3,3,2,2,2,1,4,3,3,2,5.55814759976865,5.625,"High",23,25,19,22,1,1,1,1,44,40,100,100,100,16,13,19,20,1,"1",3,"testing the water","I had no challenges."
"157",336,1029,90,65,20,100,4,4,5,4,5,4,1,2,3,3,4,3,2,0.903365182186235,3.625,"High",85,90,20,100,4,5,1,1,40,30,65,90,90,95,65,100,19,2,"1",2,"I liked that I was given the actual statistics from the 2018 survey. ","It was challenging to think about how the entire country would think about these issues. "
"158",338,788,50,70,30,100,2,2,4,3,4,4,4,3,2,2,3,4,5,4.22985837671101,3.125,"High",50,86,33,100,3,5,4,1,61,30,71,100,76,86,57,100,20,1,"1",3,"I liked that I got to see what people thought about in 2018, to compare my guess to the facts. I liked that the questions were in manageable chunks. ","I am not very educated on green house gases so I am not able to make that big of an opinion on it. "
"159",340,690,85,100,0,100,4,4,3,2,2,5,4,2,5,1,5,4,4,4.72905704003599,4.75,"High",78,100,0,100,1,1,5,1,51,70,0,66,92,81,0,100,19,2,"1,2",1,"looking at how people would've answered the questions in 2018 vs 2023","none really, but I would maybe say thinking back to 2018 and thinking how people then would've felt "
"160",342,1438,57,90,49,100,3,4,5,4,4,5,2,3,3,2,4,4,4,3.72885089647195,4.125,"High",57,85,41,93,2,1,3,1,65,70,61,90,89,95,63,100,18,2,"2",1,"I like how you can pick a number in between the 10s (for example 45 or 65). ","I didn't have many challenges with the exercise."
"161",344,381,84,100,5,100,5,5,5,5,5,5,5,5,5,5,3,5,4,3.87648059893323,3.875,"High",100,98,70,100,1,1,3,1,94,100,1,100,100,97,98,100,NA,NA,"",NA,"I liked I was able to see different ways these quotes can be viewed","I had some challenges with agreeing/disagreeing depending no on the situation"
"162",346,677,100,100,50,100,5,5,5,5,5,5,2,2,2,3,3,3,5,1.37007291305186,6,"High",50,100,50,100,4,1,5,1,100,100,50,100,50,80,50,100,NA,NA,"",NA,"It was interesting seeing what other people's opinions are on the exercise.","n/a"
"163",349,984,78,60,53,96,4,4,5,4,4,3,2,3,3,3,3,4,4,0.869296844675792,4.25,"High",88,77,73,97,1,4,3,2,66,84,55,74,97,97,96,98,20,2,"1",2,"I liked comparing the questions from 2018 to present. ","When deciding on ethical questions I tried to pick more defined answers, but ended up clicking ""neither agree nor disagree"" for a lot of them so it was hard to take a side. "
"164",351,912,82,98,11,1,4,4,5,3,4,5,2,2,3,2,3,4,3,3.19269363151468,3.625,"High",86,85,77,100,2,1,3,1,29,54,20,76,79,87,50,88,18,2,"1",1,"I liked how you asked what we thought the percentages of people answered and then actually showed us what the actual percentages were.","I didn't have any, it was short and sweet and I didn't lose interest."
"165",352,665,100,49,35,100,4,4,4,3,5,4,1,3,3,3,2,2,5,2.04814592892488,4.875,"High",100,61,31,100,4,5,5,1,61,40,61,90,44,84,82,100,21,1,"1",4,"I liked comparing my beliefs to that of the average American.","I found it challenging to accurately consider what the average American would believe, given the extremes in political beliefs at this point in time."
"166",355,531,100,80,0,100,4,4,4,3,4,4,2,2,2,2,2,3,4,1.08646021463916,3.5,"High",100,87,0,100,3,3,5,1,60,60,29,9,100,100,9,100,18,2,"1",1,"I got to learn about changing opinions","Some of the wording was a bit confusing causing me to put inaccurate opinions"
"167",357,514,100,78,42,100,3,4,5,2,5,5,3,2,3,1,3,3,3,0.941198393419446,4.25,"High",100,75,17,100,4,5,4,5,100,49,30,100,83,70,30,100,19,1,"1",1,"the questions were unique and made me think","I had challenges trying to figure out what I really felt."
"168",359,4499,100,80,50,100,3,5,5,4,3,5,2,3,3,4,4,4,4,2.21838218623482,3.625,"High",100,68,47,100,1,3,1,1,60,70,51,83,82,92,45,100,18,2,"1",1,"I liked that it was direct and fast, I didn't have to think very hard about my answers. ","Trying to figure out what I thought the majority would be when answering for other people."
"169",360,275,26,36,100,75,3,2,3,3,3,3,3,3,3,4,3,3,2,4.37267140929246,3,"High",46,35,82,100,2,3,2,2,42,59,40,80,44,49,43,63,18,2,"1",1,"I liked the sliding answer questions.","I have mixed feelings about some things."
"170",362,550,50,33,71,100,4,4,4,3,5,5,1,3,4,3,3,3,3,1.58478072103335,3.375,"High",48,40,91,100,2,4,1,1,51,33,72,100,67,33,83,100,19,1,"1",1,"I like how that study asked for my opinion at the end. ","It was hard to guess what others people were thinking. "
"171",365,685,68,81,11,0,4,4,4,4,4,4,3,2,4,2,3,4,4,0.718293297345929,4.75,"High",100,80,50,100,1,1,4,1,81,65,34,5,92,49,100,100,18,1,"1",1,"It was interactive with the slide bar ","none"
"172",367,215,57,48,43,69,1,2,3,2,4,4,4,3,4,4,5,4,3,4.78674759976865,4.125,"High",63,71,75,69,4,3,3,2,65,62,55,86,61,68,60,52,18,2,"1",1,"The diversity","None"
"173",368,410,63,94,69,100,4,4,4,3,5,5,2,3,4,3,3,4,3,2.6314378638905,3.875,"High",83,92,77,100,4,3,1,1,71,63,58,100,93,80,85,100,18,2,"1,5",1,"I liked how it gave us the actual percentages and asked how suprised we were. ","none."
"174",370,471,62,22,71,79,4,4,4,2,4,5,2,2,4,4,2,4,4,0.982269609922242,4.125,"High",83,80,82,83,4,4,4,4,72,61,91,100,91,88,88,88,18,2,"1",2,"I liked learning about what the world thought of the statements. ","Deciding what I agreed or strongly agreed with. "
"175",373,570,50,70,50,100,4,4,3,3,4,4,4,3,3,2,3,3,4,1.80445704003599,2.5,"High",70,80,69,100,1,1,4,1,40,70,50,100,81,70,50,100,18,2,"1,2",1,"It was repetitive","I got confused as to why it was repetitive"
"176",375,604,71,65,18,100,4,4,4,3,4,4,3,4,4,4,4,4,4,3.31225056230319,3.75,"High",77,73,30,100,1,1,4,1,70,70,20,100,73,81,40,100,18,1,"1",1,"trying to estimate what the american public thinks about the given topics","trying to estimate what the american public thinks about topics"
"177",377,556,62,62,74,100,4,4,4,4,2,4,1,2,3,3,2,2,5,2.14142980528244,3.875,"High",64,21,70,100,1,4,3,1,63,64,61,100,55,54,55,100,19,1,"1",1,"It look at al sides","None"
"178",379,838,51,68,63,100,2,4,4,2,3,4,4,4,4,4,4,4,4,1.56351551956815,3,"High",31,70,51,100,2,1,2,1,45,64,68,100,74,80,35,100,20,2,"1",3,"I like how the issues allow for a ranking that ranges from 1-100 rather than just saying ""agree, disagree, etc.""","I was challenged to think about how much I believe in these issues and how much I view them to be world issues."
"179",380,482,84,71,16,100,3,4,5,3,4,5,2,3,3,3,3,2,4,2.88281393226656,2.125,"High",81,83,7,100,2,4,5,2,60,51,29,91,56,69,55,100,19,2,"1",2,"It was short and simple and interesting ","Not any "
"180",383,905,39,58,52,84,3,4,4,3,4,5,3,2,2,3,4,4,3,1.22848243686138,4.125,"High",42,47,81,100,1,1,3,1,84,50,19,100,82,100,100,100,18,1,"1",1,"there was variety in questions; I also liked how there were choices for 2018 and 2023 differences.","I did not face many challenges at all while doing the exercise."
"181",384,527,80,50,100,100,4,4,5,4,4,5,2,2,3,3,2,3,3,0.956985733564681,3.875,"High",80,50,100,100,2,3,5,1,50,20,35,85,80,90,90,99,18,1,"1",1,"I liked that I was given the actual statistics of what Americans answered","Thinking about how I felt within the issues presented "
"182",387,761,59,77,51,100,5,5,4,3,5,4,2,2,3,2,3,4,4,2.96561430499325,4.125,"High",70,94,53,100,1,3,5,1,68,44,34,97,93,91,86,99,19,2,"1",1,"I liked that I saw the actual percentages of what I estimated. ","There were too many numbers to choose from. "
"183",389,597,0,10,20,100,4,4,3,5,1,5,1,2,4,5,3,5,5,1.53150599575863,4.625,"High",2,10,20,100,1,1,1,2,72,72,20,81,100,100,3,100,18,2,"1",2,"It was interesting and I learned some things about what people thought in 2018","Some of the questions I didn't understand "
"184",390,666,76,57,34,100,3,5,5,4,4,4,3,3,3,4,4,4,3,3.92219171004434,3.75,"High",78,68,90,100,2,4,5,1,82,67,21,100,79,93,72,100,18,1,"1",1,"I like our nation to come together and agree on different problems no matter what race, ethnicity, or gender we are. ","I was confused about why the majority of the nation should allow the death penalty. I had thoughts running through my head of different perspectives such as if the case was a stranger or a friend of mine. Then is becomes a difficult decision,, "
"185",392,596,100,100,50,100,2,4,5,3,5,5,1,1,2,2,3,2,4,1.66817303515198,3.875,"High",100,100,48,100,3,2,5,1,89,83,60,100,95,98,58,100,18,2,"1",1,"I liked the guessing of the overall statistics ","I didn't know what some of the questions meant"
"186",395,967,54,51,78,50,3,4,4,3,4,5,3,4,3,3,4,4,4,6.16909363151468,3.5,"High",53,57,48,39,4,3,4,3,53,63,76,49,49,33,66,41,19,2,"1",1,"I liked how the questions were real life problems and a huge debate around the world and that people have many different views of each topic discussed.","One challenge that I struggled with from the exercise is answering is on some of the choices for the debates."
"187",397,14050,100,50,100,100,3,2,3,3,3,3,3,3,3,3,3,3,4,6.15383819805925,3.25,"High",100,72,80,100,1,1,1,1,100,50,70,100,100,80,80,100,22,1,"2",4,"I like that I got to see the percentage of people who agree with what I agree with ","I was challenged by the implementation of free healthcare, I believe it is a debatable matter. "
"188",399,3030,65,65,67,67,4,4,4,4,4,4,4,4,4,4,4,4,4,6.67748093310199,5.5,"High",80,100,100,100,4,4,4,4,88,84,85,86,80,81,80,84,18,2,"1,3",1,"Discussion","None"
