"","X","in_uhc_supp","in_uhc_familiar","in_uhc_change","in_cap_supp","in_cap_familiar","in_cap_change","in_ai_supp","in_ai_familiar","in_ai_change","fn_uhc_supp","fn_cap_supp","fn_ai_supp","Like_Free_R","Hard_Free_R","Pol_High_1","Age_High","Gender_High","Race_High","School_High","id","conv_cond","consen_cond","utilitarian","deontological","in_uhc_conviction","in_cap_conviction","in_ai_conviction","fn_uhc_conviction","fn_cap_conviction","fn_ai_conviction","uhc_cat","cap_cat","ai_cat"
"128",128,-10,10,10,10,30,0,-10,30,20,-16,32,12,"made me think about issues I don't think about on a daily basis. ","sometimes coming to a conclusion of what I believe myself ",7,19,"Female","Caucasian/White","Freshman",91243,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,2.83333333333333,-24.2857142857143,19.1428571428571,11.8571428571429,-2.85714285714286,22.5714285714286,21.2857142857143,"Negative","Positive","Negative"
"129",129,31,21,15,-20,30,11,20,30,15,30,-10,15,"I liked that the questions were pretty simple.","The sliding graph was confusing on the questions about percentages of the American population. ",2,19,"Female","Caucasian/White","Freshman",92361,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.83333333333333,3,18.2857142857143,20,3.57142857142857,13,15.5714285714286,12,"Positive","Negative","Positive"
"130",130,17,50,-16,-50,40,18,12,-6,6,21,-47,-41,"I liked how we had the 1-100 to tell how we think about it and not just 10,20,30, etc.","Some of them I was not aware of",4,19,"Female","Caucasian/White","Sophmore",92348,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.33333333333333,3.33333333333333,12.2857142857143,11.4285714285714,-0.714285714285714,15.5714285714286,7.57142857142857,-3,"Positive","Negative","Positive"
"131",131,20,5,25,-15,20,10,20,31,5,20,-15,34,"The topics","It was repetitive",5,19,"Male","Caucasian/White","Freshman",92480,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4,2.5,14.2857142857143,32.2857142857143,2.28571428571429,16.1428571428571,27.2857142857143,9.42857142857143,"Positive","Negative","Positive"
"132",132,20,30,36,20,50,25,25,50,34,30,34,43,"n/a","n/a",1,18,"Female","Caucasian/White,African-American/Black","Freshman",92125,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.5,3.66666666666667,35.7142857142857,28.8571428571429,17.2857142857143,32.5714285714286,37.7142857142857,11.4285714285714,"Positive","Positive","Positive"
"133",133,42,15,-7,1,-48,37,-43,35,-23,35,-6,-31,"I liked the slide bars ","I had never put much thought into capital punishment so I don't think it reflected my moral much.",2,19,"Female","Caucasian/White","Sophmore",92473,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.33333333333333,2.83333333333333,20.7142857142857,5.42857142857143,4.42857142857143,18.4285714285714,13.8571428571429,14.1428571428571,"Positive","Neutral","Negative"
"134",134,30,10,23,-30,-14,20,8,20,30,42,-14,25,"it gave essays to give examples on why the things are ethical and then let you re answer","I was in between on some of the ethical responses and it depended on what the actual situation was",2,20,"Female","Caucasian/White","Junior",92171,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.5,3,33.2857142857143,28.2857142857143,32.7142857142857,35.4285714285714,29.1428571428571,28.2857142857143,"Positive","Negative","Positive"
"135",135,25,25,31,-32,20,-19,1,19,18,30,-29,15,"I like how we were given questions to decide on morals before seeing studies and then, after seeing the survey answers, being asked the same questions to see if there is group bias in the answers. ","I struggled with the AI questions, even after reading the surveys. I don't think we have enough information on AI to answer these to the best of our abilities. ",2,18,"Female","Caucasian/White","Freshman",91945,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4,3,28.7142857142857,36.1428571428571,12.2857142857143,31.1428571428571,31.4285714285714,6.85714285714286,"Positive","Negative","Neutral"
"136",136,0,-41,50,-15,-50,50,15,20,23,33,-30,29,"The questions where it asked if I was surprised about 2014 result","I am not educated enough with some of these policies to answer them with sufficient knowledge",1,19,"Female","Caucasian/White","Sophmore",91986,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.5,2.83333333333333,-0.285714285714286,0,6.71428571428571,3.57142857142857,18,10.8571428571429,"Neutral","Negative","Positive"
"137",137,20,-50,50,-30,30,-10,10,10,30,-30,-40,20,"I liked that you provided articles that had definitions because I, at first, was not familiar with all the things brought up.","N/A",6,19,"Female","Caucasian/White","Freshman",92670,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.83333333333333,2,16,40,14.1428571428571,15.5714285714286,41.4285714285714,8.57142857142857,"Positive","Negative","Positive"
"138",138,-10,17,26,-30,-7,7,-12,21,13,4,-29,6,"I liked how new information was presented to me after I had already answered questions. The new information made me reflect back on the answers I had just given, and rethink my answers before giving them again.","A lot of the morality questions were super silimar, so they were a little tricky to read, but other than that none. ",5,18,"Female","Caucasian/White","Freshman",92686,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.83333333333333,2.83333333333333,13.7142857142857,26.2857142857143,12,7.71428571428571,18.2857142857143,-8.14285714285714,"Negative","Negative","Negative"
"139",139,11,20,31,-50,31,-41,-31,11,12,22,-50,11,"I like that it was straight forward and the questions were easy to understand. ","None",1,18,"Female","Caucasian/White","Freshman",92223,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.16666666666667,2,-7.85714285714286,48.5714285714286,1.28571428571429,-1.71428571428571,49.2857142857143,4.71428571428571,"Positive","Negative","Negative"
"140",140,-21,22,21,30,43,29,10,50,22,25,34,33,"I liked that we got to read essays about someone's thoughts, and I liked that they showed statistics of what people actually believe in that survey. ","Some of the questions were so similar it was hard to figure out how they differed when responding. ",6,18,"Female","Caucasian/White","Freshman",92489,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4,3,4.42857142857143,23.8571428571429,14,12.7142857142857,30.1428571428571,-7,"Negative","Positive","Positive"
"141",141,20,-20,25,32,-44,35,-20,22,0,16,16,-9,"I liked seeing the percentages of what others opinions were","I noticed that Im not very educated on important things that are currently going on in the world. ",1,19,"Female","Hispanic/Latino(a)","Freshman",92533,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.5,3,-3.71428571428571,0,-7.42857142857143,-1.71428571428571,20.1428571428571,7.57142857142857,"Positive","Positive","Negative"
"142",142,40,20,30,15,10,35,10,30,10,45,15,20,"I liked that I was able to reflect on my opinions for the questions again after reading the essays and seeing the 2018 poll results. The essays were interesting opinion pieces.","It would have been nice to see both sides of the coin for the essays, and it would have been nice if the essays were described as opinion pieces, I was first under the assumption I was going to read a factual/[proven piece.",1,18,"Female","Caucasian/White","Freshman",91703,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.16666666666667,3,38.5714285714286,33.4285714285714,35.7142857142857,42,38.7142857142857,37.1428571428571,"Positive","Positive","Positive"
"143",143,-20,-10,-35,-25,-30,-25,-45,15,10,-10,-15,-40,"I got to see the actual percentages of Americans that agreed with the statements after I completed the estimations for those percentages.","I struggled to estimate what Americans thought in 2018 because I was only 12 years old at the time, so I didn't really pay attention to much of what the world thought.",6,18,"Male","Caucasian/White","Freshman",91956,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.33333333333333,2.5,7.14285714285714,5,20.5714285714286,15.7142857142857,20.7142857142857,32.1428571428571,"Negative","Negative","Negative"
"144",144,0,-20,10,-50,10,-50,50,-18,50,28,-50,50,"I don't know.","It is not very interesting",4,18,"Male","Caucasian/White","Freshman",91377,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3,2.5,-0.285714285714286,-37.8571428571429,0.857142857142857,3.14285714285714,-35.7142857142857,0.714285714285714,"Neutral","Negative","Positive"
"145",145,40,-10,-20,8,30,35,-10,20,-30,30,-30,-20,"I like that you collected information on how we felt on certain topics before and after telling us what the rest of the population believes. It helps show if we are easily swayed by public opinion. ","For some topics I just felt I was educated enough to give my full opinion, I was basically just going off of the limited information I already had about the topic ",2,18,"Female","African-American/Black","Freshman",92191,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.83333333333333,3.33333333333333,27,-5.57142857142857,-26.1428571428571,25.7142857142857,13.8571428571429,-18.7142857142857,"Positive","Positive","Negative"
"146",146,5,-5,20,0,-3,3,0,10,3,20,13,29,"I was interested in reading the stats of the stances people had on these topics","Knowing where I stood on each issue, and how far to drag the slider when I agreed/disagreed",3,20,"Female","Caucasian/White,African-American/Black","Sophmore",92700,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4,3.16666666666667,6.14285714285714,2.28571428571429,5.57142857142857,20.5714285714286,19.4285714285714,3.42857142857143,"Neutral","Neutral","Neutral"
"147",147,35,30,25,30,50,20,-40,50,25,50,30,-30,"I liked how it talked about some of the big political/ethical issues in America that are going on right now. I like how it asked for my opinion and gave me information about the topics.","It was challenging giving my opinion on these hard topics because I'm not really someone who shares my opinion about political stances.",4,18,"Female","Caucasian/White","Freshman",92186,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.83333333333333,3.5,26.4285714285714,13,15,24.2857142857143,17.1428571428571,15.7142857142857,"Positive","Positive","Negative"
"148",148,30,-37,-12,-46,15,-32,-12,21,8,32,-21,-12,"Forced me to think about and consider my opinions and stances on societal issues.","understanding differences in some of the (very similar looking) questions, and further thinking about their implications.",2,19,"Female","Caucasian/White","Sophmore",91904,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,2.33333333333333,23,13.4285714285714,12,26.8571428571429,13.4285714285714,15.5714285714286,"Positive","Negative","Negative"
"149",149,-50,50,-39,-32,27,-12,29,34,-23,-10,-38,50,"I liked understanding results from 2018.","I had challenges understanding the difference between some questions.",3,18,"Male","Caucasian/White","Freshman",91972,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.33333333333333,3,-17.1428571428571,25.1428571428571,-14.4285714285714,-22.8571428571429,33.7142857142857,-14,"Negative","Negative","Positive"
"150",150,30,15,-10,30,20,-40,-40,20,10,40,40,0,"I liked the inclusion of statistics from 2018","With AI, I noticed I felt very neutral about the issue. I feel that the issues that more directly affected humans were more important and meaningful to me.",2,18,"Female","Caucasian/White","Freshman",92193,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.66666666666667,2.33333333333333,37.1428571428571,32.1428571428571,7.85714285714286,50,47.1428571428571,5.71428571428571,"Positive","Positive","Negative"
"151",151,10,25,30,10,40,41,15,50,50,31,30,-31,"Comparing past sentiments with your own","moral dilemas",1,19,"Female","Caucasian/White","Sophmore",91492,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.5,2.16666666666667,23.1428571428571,41.4285714285714,44.4285714285714,39.4285714285714,39.8571428571429,40.2857142857143,"Positive","Positive","Positive"
"152",152,-7,-42,45,-50,29,-40,10,36,18,32,28,19,"I liked the way how questions were asked","i din’t have any",6,24,"Female","Other","Freshman",92401,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",2.66666666666667,2.5,20.7142857142857,8.57142857142857,14.5714285714286,19.8571428571429,16.2857142857143,11,"Negative","Negative","Positive"
"153",153,50,16,30,-38,17,-21,-14,33,-5,18,-24,23,"seeing other perspectives","reading all the essays ",1,19,"Female","Caucasian/White","Sophmore",91937,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",1.5,3.5,31.4285714285714,23.2857142857143,1.14285714285714,23,19.5714285714286,18.8571428571429,"Positive","Negative","Negative"
"154",154,20,17,36,8,2,42,7,23,50,35,25,26,"I liked that it gave me information and and allowed me to read up on what I was answering questions on. It gave me time to consider other perspectives.","Having to guess what other people would think about it",1,18,"Female","Caucasian/White","Freshman",92146,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,2.66666666666667,18.7142857142857,5.57142857142857,-10.2857142857143,28.4285714285714,13.1428571428571,24.1428571428571,"Positive","Positive","Positive"
"155",155,-10,20,-10,-21,22,22,-30,32,10,-21,21,-25,"I thought that the issues talked about were very relevant. ","My opinions on universal healthcare are not very strong. ",6,19,"Male","Caucasian/White","Sophmore",91210,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.33333333333333,3,0.428571428571429,19.8571428571429,23.7142857142857,0.428571428571429,15.5714285714286,20.7142857142857,"Negative","Negative","Negative"
"156",156,15,-33,27,11,21,19,-27,29,30,12,18,-18,"That I am able to decide how I feel about the topics, then also have to ability to change how I feel about the topics after learning about them.","It was hard to believe that the true percentage of Americans that believe in the different topics were as drastic as they were.",6,18,"Male","Caucasian/White","Freshman",91410,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.66666666666667,3.66666666666667,8,13.5714285714286,15.8571428571429,4.28571428571429,12,17.1428571428571,"Positive","Positive","Negative"
"157",157,31,28,29,-29,12,0,1,31,23,37,-31,27,"being given information and then reapply my beliefs with the new information.","I don't remember the numbers I slid over to, so when my opinion gained or lessened I wasn't sure if I was accurately expressing that. I think it wouldve been been better to just have ""agree"" ""slightly agree"" etc. ",2,18,"Female","Caucasian/White","Freshman",91444,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4,3,36.1428571428571,29.8571428571429,12.7142857142857,33.7142857142857,33.2857142857143,9.14285714285714,"Positive","Negative","Neutral"
"158",158,20,10,30,-44,30,-46,-26,41,-9,30,-46,11,"I like that this exercise covered an array of different issues. I think my opinion on universal health care changed a little. However, it's good to know I can't lose my morals about killing people and how I think it's wrong just based on another study I saw. ","I struggled with the questions about AI because I don't hold much opinion on that subject. Also, is was frustrating to know what other people thought in 2018, especially about the death penalty.",8,19,"Female","Caucasian/White","Junior",91184,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.33333333333333,3.16666666666667,-7.71428571428571,32.8571428571429,2.85714285714286,16.5714285714286,37.7142857142857,3.85714285714286,"Positive","Negative","Negative"
"159",159,21,-2,30,0,-29,0,-7,8,18,23,18,19,"I feel I learned a lot about the opinions of Americans.","I didn't know what they were asking at times.",3,18,"Female","Caucasian/White","Freshman",91317,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.83333333333333,2.83333333333333,7.71428571428571,0,-0.428571428571429,9.85714285714286,6.28571428571429,9.42857142857143,"Positive","Neutral","Negative"
"160",160,15,0,1,50,20,10,-30,19,-10,30,20,-50,"n/a","n/a",5,18,"Female","Caucasian/White","Freshman",91488,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4,2.66666666666667,4.57142857142857,12.8571428571429,-4.57142857142857,21,19.7142857142857,-3,"Positive","Positive","Negative"
"161",161,32,16,15,-50,17,1,11,3,10,41,-48,11,"I liked that it challenged my thoughts by providing information and then having me re-answer the questions newly informed","Deciding what my answers should be.",1,18,"Female","Caucasian/White","Freshman",91718,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.5,2.66666666666667,23.5714285714286,13.1428571428571,5.57142857142857,14.8571428571429,12.8571428571429,3.28571428571429,"Positive","Negative","Positive"
"162",162,0,-10,0,-2,-11,-7,-14,10,0,10,3,-15,"How it shows the stance on certain things that are going on in the world today.  ","I do not really like to talk about my stance on most things. ",1,18,"Female","Caucasian/White","Freshman",91802,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.5,3,-0.571428571428571,-0.142857142857143,0.142857142857143,1,0.571428571428571,-0.285714285714286,"Neutral","Neutral","Negative"
"163",163,41,27,33,-17,-13,-20,-20,38,-19,35,16,27,"I liked the exercise I just completed because the questions were deeper-connected. I also liked reading about how the population feels and how people feel about today's situations.","The challenge I experienced with the exercise I just completed was defining my morals as I am still trying to find who I am.",1,18,"Female","Caucasian/White","Freshman",91787,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.16666666666667,3.83333333333333,13.1428571428571,6,12.5714285714286,27.4285714285714,14.2857142857143,13.5714285714286,"Positive","Negative","Negative"
"164",164,-12,4,1,8,13,-2,-15,14,-6,0,9,-45,"I liked how the articles about the certain topics were informative ","Trying to think of all the perpectives on the issue ",9,19,"Female","Caucasian/White","Freshman",91734,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3,3,3,4.85714285714286,4.42857142857143,10.1428571428571,-0.428571428571429,2.85714285714286,"Negative","Positive","Negative"
"165",165,-5,-25,-8,-9,15,-5,3,13,17,16,-27,4,"It let me give my personal opinions. ","Thinking of how I think about certain points. ",4,18,"Female","Caucasian/White","Freshman",91794,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.66666666666667,3,8,26.8571428571429,14.4285714285714,8.42857142857143,20,8.85714285714286,"Negative","Negative","Neutral"
"166",166,26,21,12,-33,20,-3,-8,31,21,33,-28,-15,"I liked how it taught me other peoples thoughts and feeling on certain things going on. It was able to make me think.","No challenges",2,19,"Female","Caucasian/White","Freshman",92487,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4,2.16666666666667,11.7142857142857,20.5714285714286,5.14285714285714,21,20.7142857142857,17.8571428571429,"Positive","Negative","Negative"
"167",167,30,15,11,-9,10,21,32,34,-9,42,36,28,"it was easy to follow","it was repetitive ",2,18,"Male","Hispanic/Latino(a)","Freshman",91136,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.83333333333333,2.83333333333333,18.5714285714286,27,8.14285714285714,27.5714285714286,32.1428571428571,20.4285714285714,"Positive","Negative","Positive"
"168",168,17,-19,20,-28,26,-32,-42,26,-15,5,-44,-36,"I feel passionately about some of the topics that were discussed.","Trying to understand the wording of a few of the questions.",6,18,"Female","Caucasian/White","Freshman",91311,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4,2.5,6.42857142857143,28.1428571428571,4.28571428571429,20,39.1428571428571,29.1428571428571,"Positive","Negative","Negative"
"169",169,15,-28,10,8,-17,7,-20,7,19,15,21,9,"I liked thinking about ethics and AI.","I didn't have any challengers.",4,20,"Female","Caucasian/White","Sophmore",91944,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",2.83333333333333,2.83333333333333,-5.85714285714286,-5.14285714285714,-1.71428571428571,2.42857142857143,-3.14285714285714,-0.857142857142857,"Positive","Positive","Negative"
"170",170,30,14,48,-10,26,48,-26,50,50,35,25,34,"i liked how it gave before and after questions. i think that shows how much is learned and information that is processed.","i had no challenges.",7,18,"Female","Caucasian/White","Freshman",91288,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.5,2.83333333333333,20.4285714285714,12.2857142857143,5.85714285714286,12.1428571428571,12.1428571428571,3.14285714285714,"Positive","Negative","Negative"
"171",171,10,10,-10,5,10,10,5,20,10,10,10,10,"I liked many answer choices because it was easier to pick how I felt. ","There were many answer choices, which could make it difficult because you have more to pick from. ",6,18,"Female","Caucasian/White","Freshman",92451,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4,3,2.14285714285714,5,6.42857142857143,1.42857142857143,4.28571428571429,5.71428571428571,"Positive","Neutral","Neutral"
"172",172,-15,25,10,0,30,-10,30,25,15,-15,-25,20,"Repetition of questions after new information was presented","Thinking critically about moral issues",7,19,"Male","Caucasian/White","Freshman",92436,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4,3.33333333333333,12.1428571428571,27.1428571428571,-1.42857142857143,11.8571428571429,45.5714285714286,5,"Negative","Neutral","Positive"
"173",173,45,35,0,-50,50,-50,-1,1,-1,50,-50,10,"I liked learning what other Americans think about certain issues. ","General uncomfortableness with some of the statistics/takes Americans have had on social issues. ",1,19,"Female","Caucasian/White,Hispanic/Latino(a)","Freshman",91483,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.5,2.66666666666667,37.1428571428571,50,-4,50,50,-37.1428571428571,"Positive","Negative","Neutral"
"174",174,50,9,23,50,20,-9,50,50,39,50,50,50,"mcq.","too many reading.",1,20,"Male","Asian/Pacific Islander","Sophmore",92666,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.5,3,16.7142857142857,-1.14285714285714,8.57142857142857,16.1428571428571,-2.28571428571429,-0.857142857142857,"Positive","Positive","Positive"
"175",175,15,-33,25,-10,20,-25,35,15,20,11,-28,42,"I liked the different perspective you could get from the essays.","Dissecting my personal beliefs about the issues and where they come from. ",6,19,"Male","Caucasian/White","Sophmore",91417,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.83333333333333,3,6.28571428571429,44.5714285714286,-37.5714285714286,-7.57142857142857,46.4285714285714,-26.5714285714286,"Positive","Negative","Positive"
"176",176,35,37,26,-36,23,15,-28,31,12,11,-16,-9,"i liked that there was scale of answers and not just yes or no","Understanding some of what the statements were asking",4,18,"Female","Caucasian/White","Freshman",92321,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.33333333333333,4.16666666666667,19.2857142857143,4.85714285714286,6.71428571428571,8.28571428571429,-2,2.28571428571429,"Positive","Negative","Negative"
"177",177,50,-9,0,-50,30,40,-26,50,-1,39,-50,50,"I learnt about the death penalty for the first time. I also thought that AI is less important. But I understood the great significance it brought to companies.","The questions were the same. I felt a little bit discomfort.",6,18,"Female","Other","Sophmore",91335,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.33333333333333,3.5,20,42.2857142857143,40.4285714285714,1.57142857142857,-7,-7.14285714285714,"Positive","Negative","Negative"
"178",178,40,16,17,27,31,16,31,24,16,39,42,38,"It provided me with new information when I learned what others people said.","Not knowing the correct definitions.",4,18,"Female","Caucasian/White","Freshman",91856,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,2.83333333333333,23.1428571428571,12.5714285714286,8,15,18.2857142857143,10.1428571428571,"Positive","Positive","Positive"
"179",179,29,25,19,22,31,35,50,43,-31,24,22,50,"I was first intimidated knowing I might have to read numerous essays, but I liked how they were short and to the point while still providing useful discourse and information about the topic. I also liked that it compared the sentiment before and after reading the essays as well as asking to estimate current American public opinion.","The percentage values provided eg 40% of Americans in 2018 supported... is hard to understand with a scale that goes from -50 to 50. I also feel as though some questions seemed to get at the same thing or were to difficult to differentiate between their meaning.",2,21,"Male","Caucasian/White","Junior",92712,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.33333333333333,2.66666666666667,33.5714285714286,27.7142857142857,12.7142857142857,41.1428571428571,37.8571428571429,7.14285714285714,"Positive","Positive","Positive"
"180",180,15,-20,15,-9,5,10,-30,26,-30,12,-22,-40,"I liked the simplicity of the questions. They were easy to answer and I was not confused when reading them. ","I did now know very much about some of the topics, so I had to do a little research about the issues. ",5,19,"Female","Caucasian/White","Freshman",91307,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.16666666666667,3.33333333333333,8.85714285714286,10.2857142857143,26.7142857142857,14.4285714285714,19.2857142857143,30.4285714285714,"Positive","Negative","Negative"
"181",181,10,2,10,5,5,10,-20,21,18,15,20,11,"I liked that I got to state my opinion. ","I didn't understand some questions ",7,19,"Female","Caucasian/White","Freshman",92312,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.83333333333333,3.66666666666667,9.28571428571429,8.71428571428571,6.28571428571429,12.5714285714286,10.5714285714286,7.85714285714286,"Positive","Neutral","Negative"
"182",182,25,21,34,-44,-33,35,25,44,37,29,-42,23,"I liked how I was asked the same questions multiple times so that I had the option of changing my thinking if I wanted to.","My challenges were not me picking my answers, but me comparing my different answers",7,19,"Female","Caucasian/White","Freshman",91698,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.33333333333333,2,23.7142857142857,34,21.1428571428571,18,20.8571428571429,19,"Positive","Negative","Positive"
"183",183,10,-48,-20,-31,-50,-50,25,50,3,15,15,50,"I liked how it asked if my mind would switch about something.","I didn't know some of the concepts",9,19,"Female","Caucasian/White","Freshman",91697,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.16666666666667,4.16666666666667,31,-8.57142857142857,33,10.5714285714286,17.8571428571429,12.8571428571429,"Positive","Negative","Positive"
"184",184,10,-16,-4,10,-10,5,-7,11,15,14,7,5,"i enjoyed sharing my opinion about AI","talking about my opinions for health care because my knowledge is not heavy on that topic",9,18,"Female","Caucasian/White","Freshman",91160,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.16666666666667,3.5,10.2857142857143,8.57142857142857,6.14285714285714,6,7.42857142857143,2.28571428571429,"Positive","Positive","Negative"
"185",185,11,27,-11,-11,-6,-12,14,45,10,13,16,10,"i like to share my opinion on things that effect me ","sharing what my personal belief is on heath care because my mom works in the health care ",8,19,"Female","Caucasian/White","Freshman",91097,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,4,5.85714285714286,-0.857142857142857,3,6.85714285714286,4.71428571428571,1.85714285714286,"Positive","Negative","Positive"
"186",186,7,20,9,-3,-5,-2,4,23,5,6,-1,9,"I liked sharing my beliefs on AI during the exercise I just completed. ","Talking about healthcare was challenging because I don't have a ton of knowledge on it. ",7,19,"Female","Caucasian/White","Freshman",91696,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,4,3.71428571428571,1,1.71428571428571,0.857142857142857,1.57142857142857,1.42857142857143,"Positive","Neutral","Neutral"
"187",187,25,-50,18,-14,-40,23,8,19,15,50,-10,13,"Multiple choice, I liked getting additional information about the topics I was answering questions about. ","I am not American so I am a bit unfamiliar with not having universal healthcare and the discussion of capital punishment. ",7,18,"Female","Caucasian/White,Asian/Pacific Islander","Freshman",91369,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4,2.33333333333333,22.1428571428571,20.5714285714286,1,27.1428571428571,17.1428571428571,7.57142857142857,"Positive","Negative","Positive"
"188",188,10,20,30,31,41,12,-50,45,22,30,37,-23,"the ability for me to pinpoint my exact agreement/disagreement degree with sliders. Instead of just 1-5. I liked the ethical situations given","Deciding whether something was a moral or ethical question, and my stance on some things",5,18,"Male","Caucasian/White","Freshman",91758,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.16666666666667,2.83333333333333,-5.42857142857143,26.1428571428571,6.85714285714286,4,22.5714285714286,-1.85714285714286,"Positive","Positive","Negative"
"189",189,-1,-39,34,16,26,9,5,33,34,-13,23,25,"I liked how the scale we had to answer on was a spectrum, rather than concrete decided descriptors of our opinions.","None, I thought the exercise was very straightforward.",4,18,"Male","Asian/Pacific Islander","Freshman",91513,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.83333333333333,2.16666666666667,15,27.8571428571429,18.4285714285714,18.4285714285714,17.7142857142857,14.2857142857143,"Neutral","Positive","Neutral"
"190",190,12,-20,28,5,15,20,18,20,26,20,16,14,"It was easy to fill out. I was able to focus more not the topic and the reading instead of worrying about how to submit my answer. ","I couldn't really decide on where I stood on certain topics. I didn't want to keep choosing the neutral section, but I felt mixed opinions a lot. ",6,18,"Female","Caucasian/White","Freshman",91414,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.16666666666667,3.16666666666667,3.28571428571429,3.42857142857143,4,7.71428571428571,11.5714285714286,6.42857142857143,"Positive","Neutral","Positive"
"191",191,26,-16,28,-50,35,-27,-31,50,-5,33,-40,-34,"Showed me things that I was not aware other people thought such as the death sentence","Nothing",4,18,"Female","Caucasian/White","Freshman",92430,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.5,1.66666666666667,18,39.7142857142857,17.5714285714286,29.4285714285714,41.8571428571429,4.57142857142857,"Positive","Negative","Negative"
"192",192,50,25,18,-50,30,-35,33,35,20,50,-50,-12,"I liked that the exercise challenged me to truly engage and connect with my beliefs","It can be hard to define my beliefs with a number",2,18,"Female","Caucasian/White","Freshman",91981,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.5,2.5,26.8571428571429,13.1428571428571,-0.285714285714286,16.8571428571429,12,-3.28571428571429,"Positive","Negative","Positive"
